"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,コストパフォーマンス,質感,写り,デザイン,気持ち,レスポンス,評判,レンズ,発色,性能,満足度,描写,不満,色乗り,相性,精度,価格,感触,完成度,天気,もち,色のり,解像度,ホールド性,感じ,質,出来,視認性,コントラスト,値段,カメラ,液晶,感度,機能,色,バッテリー,大きさ,重さ,ヌケ,描写力,補正,切れ,解像感,ボケ味,AF,操作感,重量バランス,画像,反応,問題,ボケ,位置,色合い,ホールド,評価,音,取り回し,条件,機能性,AF精度,使用頻度,場合,シャッター音
weight,"",0.00509436234278481,0.00421815256472892,0.0032422388262032,0.00265788523986999,0.00234100322509436,0.00232997542151918,0.00190506128954071,0.0016959312711421,0.00140951190612238,0.00134334182512756,0.0011955079630124,0.0010961921580837,0.000842081354168641,0.00082892630413986,0.000775486271577315,0.000740248929993098,0.000704667268920075,0.000704622493179622,0.000680161905979022,0.000649306407371492,0.000587486761523357,0.000473917352861987,0.00046862864926376,0.000455234089021558,0.000444798615492372,0.000434933057834516,0.000431633569359044,0.000421435454148681,0.000416613992583148,0.000404065402039454,0.000401979122605674,0.000387921622369399,0.000359649156041745,0.000336425409315634,0.000329876595014084,0.00032668823516604,0.000324553560251891,0.000316536138576205,0.000311798848152532,0.00030696240073608,0.000304236604757852,0.00029409099147396,0.000292636470480951,0.000290256311692302,0.000283462088446009,0.000282384959692619,0.000274590493933992,0.000269937713454768,0.000269494970643119,0.000262133142193599,0.000261056943303891,0.000259996844743934,0.000258926231140246,0.000258105004123751,0.000256165017150477,0.000245644302399297,0.000242804609171232,0.000241000799915435,0.000227612664020446,0.000220781554645447,0.000214495619516514,0.000212483948593489,0.000210855536581154,0.000208812407711995,0.000204836265997261,0.000201085023072518,0.000179983934739647,0.000176946920546655,0.000176056195379688,0.000175481853465098
の良い,0.00193550714944882,20,2,12,4,0,11,3,5,1,7,1,13,2,14,5,1,5,0,2,0,2,1,2,0,0,0,15,0,1,0,0,0,4,5,2,1,0,3,1,1,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,2,0,1,0,0,0
が良い,0.00125324883162842,14,24,17,4,24,6,3,5,4,4,7,7,8,1,1,0,2,0,0,0,1,2,2,0,2,0,2,1,0,1,1,4,0,1,2,1,0,0,1,0,3,1,1,0,3,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
が良く,0.000838563757932391,10,6,10,8,0,2,5,1,5,4,3,0,6,0,1,3,0,0,1,0,2,1,2,0,1,0,0,0,1,0,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
の高い,0.000782247627045818,2,0,0,0,0,0,0,36,5,0,0,0,0,3,0,0,1,45,0,0,0,0,1,0,0,37,0,0,0,5,0,0,2,0,0,11,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,10,0,0
が悪い,0.000778716991682204,6,12,7,6,36,3,5,0,1,2,0,0,6,0,1,2,0,0,0,0,0,0,2,0,0,0,0,7,0,1,2,0,2,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,5,0,0,0,1,0,2,0,2,0,0,0
も良く,0.000772229123063515,6,14,4,12,7,12,6,1,5,6,7,0,6,0,1,3,3,0,6,0,5,3,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0,1,2,1,1,0,1,2,1,0,0,0,0,0,0,4,0,1,0,0,1,2,0,0,1,0,0,1
は良いです,0.000727475457497557,5,13,10,6,10,3,14,4,4,4,2,0,1,0,10,2,0,0,5,0,1,0,1,0,6,0,0,1,1,1,2,3,0,1,0,0,0,2,7,0,0,0,5,2,2,0,1,0,0,1,0,2,1,0,2,0,0,1,0,0,5,0,0,0,0,3,1,0,3,0
は良いと,0.000654018393933269,8,19,5,10,8,12,4,8,4,5,11,0,1,0,2,0,3,0,0,0,0,1,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,2,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,2,0,0,0,1,1,1,0,0,0,3,0,0,4,0
が良いです,0.000646164242471762,7,6,15,4,7,5,2,0,2,1,2,2,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,1,0,2,1,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
はありません,0.000582508445120766,0,18,4,11,9,11,9,0,2,6,0,1,1,0,8,1,1,1,4,158,0,1,1,0,2,0,0,0,0,2,1,6,0,0,0,0,0,6,1,0,4,0,9,2,1,0,2,1,0,0,1,6,0,0,3,0,36,0,0,0,1,0,0,0,0,1,1,1,2,0
がいいです,0.000548702297554395,3,6,12,3,6,1,1,0,1,1,0,9,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,1,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1
もよく,0.000522069265742969,5,11,4,5,6,6,5,1,2,1,1,0,0,0,0,6,0,0,0,0,3,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,0,1,2,1,0,0,0,0,0,1,0,0,0
がいい,0.000478278714787269,4,9,1,1,10,1,1,1,4,5,1,9,1,3,1,3,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
が良いと,0.000442147410229805,9,13,6,2,2,1,1,2,1,2,1,0,0,0,2,0,1,0,4,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が高い,0.000429950475772548,2,0,0,3,0,1,1,14,9,0,0,0,0,0,0,0,2,7,0,0,0,0,4,9,0,11,0,0,0,6,1,0,1,0,0,5,9,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,11,0,0
を考えると,0.000426575105651832,8,2,4,3,0,3,0,10,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,45,1,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,8,0,0,8,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
のよい,0.000407759823944578,6,1,5,0,0,0,0,0,0,1,0,3,0,3,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
がよく,0.000386658655782337,5,1,5,3,1,0,1,0,1,0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
も良いと,0.00037593959804085,11,6,1,6,1,2,0,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
は思います,0.000359948481420966,0,28,1,11,0,12,4,2,2,4,11,0,0,0,6,2,4,1,5,0,1,0,0,3,0,0,0,0,0,1,1,0,0,1,1,0,2,3,5,1,1,1,3,0,1,0,0,3,0,0,2,2,0,0,1,0,1,0,0,3,0,0,0,0,0,1,1,0,4,0
がよい,0.000354314503648236,3,1,6,2,6,3,0,3,1,0,1,2,0,0,0,0,4,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
も良いです,0.000350087092172515,4,5,1,9,5,2,4,0,2,0,2,0,0,0,0,4,0,0,3,0,2,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
は良好です,0.000314085652834834,3,2,5,6,0,3,9,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
の取れた,0.000302302820341077,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,0.00029107571432832,4,11,3,9,0,0,0,1,2,2,6,0,0,0,3,0,3,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
が良いので,0.000287044520010824,2,5,3,2,2,1,3,0,0,1,2,0,1,6,0,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
はいいです,0.000263120623900961,0,11,3,4,1,10,2,1,5,7,3,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,2,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
は良い,0.000248976407606819,2,7,1,2,4,3,7,0,0,3,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
は高いと,0.000242735230489473,0,0,0,0,0,0,0,24,2,0,0,0,0,0,1,0,2,10,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いと,0.000237732298324027,4,4,1,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
は高いです,0.00023239363838124,0,0,0,1,0,0,1,4,2,0,0,0,0,0,1,0,1,68,1,0,0,0,1,1,0,3,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0
もいいです,0.00023004167532723,0,9,1,3,6,1,3,0,5,0,3,0,1,0,0,1,0,0,1,0,0,2,1,0,3,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
は良く,0.000227409479337236,3,7,1,2,2,4,1,0,0,2,0,0,1,1,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
が悪く,0.000223702927115992,2,0,1,0,6,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0
も良い,0.000217906418109586,1,10,1,8,4,1,1,0,6,2,2,0,1,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
に優れた,0.00021347814864941,0,1,0,2,0,5,0,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のとれた,0.000212731614314091,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
