"",weight,バランス,画質,使い勝手,持ち,操作性,携帯性,ホールド感,写り,質感,デザイン,気持ち,レスポンス,コストパフォーマンス,発色,評判,描写,レンズ,色乗り,性能,相性,もち,ホールド性,感触,精度,色のり,視認性,天気,感じ,色,質,重さ,大きさ,位置,操作感,重量バランス,反応,解像度,不満,感度,液晶
weight,"",0.0235240781496008,0.0197620743633,0.0150816422349315,0.0124506651054684,0.0121830554952236,0.0105467376580195,0.00854481542347284,0.00561591491527227,0.00540526367917966,0.00536738911064709,0.0046303038308159,0.00425476652724472,0.00374397590818636,0.00307205167642734,0.00296549219440343,0.00291346087968439,0.00260441970154898,0.00259864838203851,0.00251144080688256,0.00233685654747591,0.00218185556908516,0.00214242732739563,0.00213385687404268,0.00209138234252065,0.00187600303893272,0.00167631121815847,0.0015077847877082,0.00147372289286422,0.00144801965374641,0.00142256109627109,0.00141601286854641,0.00132155833887535,0.0013206608535387,0.00130239776513202,0.00128306912666324,0.00126796042374319,0.00126298024113945,0.00125737229472532,0.00124193056515891,0.00123334968053938
の良い,0.00701446691503757,20,2,12,0,4,11,3,7,1,1,13,2,5,1,14,2,5,2,5,1,0,0,0,2,1,2,15,0,0,4,0,0,0,0,0,2,0,0,1,1
が良い,0.00560368880336842,14,24,17,24,4,6,3,4,4,7,7,8,5,0,1,0,1,1,2,2,1,1,2,2,0,2,2,4,1,0,3,0,0,1,0,0,1,0,0,1
が悪い,0.00372771993006606,6,12,7,36,6,3,5,2,1,0,0,6,0,2,0,0,1,0,0,0,7,2,0,2,0,1,0,0,2,2,0,0,5,0,1,2,1,0,2,0
が良く,0.00350147107933813,10,6,10,0,8,2,5,4,5,3,0,6,1,3,0,1,1,2,0,1,0,4,1,2,1,0,0,0,0,1,0,0,0,0,3,1,0,0,2,0
も良く,0.00319752704729802,6,14,4,7,12,12,6,6,5,7,0,6,1,3,0,6,1,5,3,3,0,0,0,1,0,2,0,0,1,1,2,1,0,0,0,0,1,0,0,0
は良いです,0.00306987250614463,5,13,10,10,6,3,14,4,4,2,0,1,4,2,0,5,10,1,0,0,1,2,6,1,1,0,0,3,0,0,2,2,0,1,0,0,1,0,0,7
が良いです,0.0028826363443633,7,6,15,7,4,5,2,1,2,2,2,0,0,0,0,0,0,1,0,2,1,2,2,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
は良いと,0.00281549741115337,8,19,5,8,10,12,4,5,4,11,0,1,8,0,0,0,2,0,3,1,1,0,1,2,1,0,0,1,1,0,0,1,0,1,0,2,0,0,0,2
がいいです,0.00243029463699315,3,6,12,6,3,1,1,1,1,0,9,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,2,1,0,1,1,0,0,1,1,0,0,0,0
もよく,0.00220671181268732,5,11,4,6,5,6,5,1,2,1,0,0,1,6,0,0,0,3,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0
がいい,0.0021104053831213,4,9,1,10,1,1,1,5,4,1,9,1,1,3,3,1,1,0,2,0,1,1,1,0,0,0,0,1,2,0,2,1,0,2,0,0,0,0,0,0
が良いと,0.00197002696067489,9,13,6,2,2,1,1,2,1,1,0,0,2,0,0,4,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
はありません,0.00187855373041236,0,18,4,9,11,11,9,6,2,0,1,1,0,1,0,4,8,0,1,1,0,1,2,1,0,0,0,6,0,0,1,2,0,0,0,0,2,158,0,1
がよく,0.00173157612232526,5,1,5,1,3,0,1,0,1,1,1,4,0,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0
も良いと,0.00163204030444527,11,6,1,1,6,2,0,2,3,4,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
のよい,0.00162593814826192,6,1,5,0,0,0,0,1,0,0,3,0,0,1,3,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
を考えると,0.00158981011831144,8,2,4,0,3,3,0,0,0,0,0,0,10,0,0,1,0,0,12,0,1,0,1,0,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0
も良いです,0.00151632669545616,4,5,1,5,9,2,4,0,2,2,0,0,0,4,0,3,0,2,0,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
がよい,0.00150453625993817,3,1,6,6,2,3,0,0,1,1,2,0,3,0,0,0,0,0,4,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
は良好です,0.00146228253962271,3,2,5,0,6,3,9,1,1,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0
の取れた,0.00139593430777851,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は思います,0.00138567018210582,0,28,1,0,11,12,4,4,2,11,0,0,2,2,0,5,6,1,4,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,5
はいいと,0.00123333971951527,4,11,3,0,9,0,0,2,2,6,0,0,1,0,0,0,3,0,3,2,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
が良いので,0.00119573002659625,2,5,3,2,2,1,3,1,0,2,0,1,0,1,6,2,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
はいいです,0.00103591615948443,0,11,3,1,4,10,2,7,5,3,0,0,1,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1
もいいです,0.00103383757820925,0,9,1,6,3,1,3,0,5,3,0,1,0,1,0,1,0,0,0,2,1,0,3,1,0,0,0,2,0,0,2,1,1,1,1,0,0,0,0,1
が悪く,0.001025841583515,2,0,1,6,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,0,0,3,0,0,1,0,0,1,0
は良く,0.00100939789869078,3,7,1,2,2,4,1,2,0,0,0,1,0,0,1,3,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0
は良い,0.00100627517007159,2,7,1,4,2,3,7,3,0,2,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1
