"",weight,画質,持ち,バランス,使い勝手,操作性,携帯性,ホールド感,写り,デザイン,質感,レスポンス,気持ち,もち,コストパフォーマンス,発色,レンズ,描写,性能,色乗り,評判,感触,相性,精度,視認性,ホールド性,位置,感じ,色,不満,液晶,重さ,色のり,AF精度,解像度,画像,感度,バッテリー,質,操作感,反応,重量バランス,天気,条件,音,大きさ,描写力,ボケ味,解像感,AF,補正
weight,"",0.056228451313386,0.0486144136071648,0.0466226482534715,0.0378445500544425,0.031784300683464,0.0266841619371474,0.0228099555165648,0.0156009631493609,0.014192616497295,0.0139259887497496,0.0128517759305874,0.0112658549400564,0.00952592015545838,0.00875986359298002,0.00804207062670285,0.00721377336962097,0.00716231545691243,0.0067320606251219,0.00633274584616317,0.00606269251345782,0.00598012201006609,0.00591801675413415,0.00545209872757757,0.00521837715769058,0.00518626322776995,0.00453839078123314,0.00437322105897128,0.00432644595417352,0.0041849806065812,0.00401584853290623,0.00401565136320079,0.00386422207649144,0.00385575589019179,0.00382477138122825,0.00371749025327506,0.00368832111136394,0.00364810531267202,0.0035462317443148,0.00332376327722864,0.00329678423061568,0.00327245730977561,0.00326348337640769,0.00306360130874703,0.00293611353790504,0.00292278427274704,0.002912267726051,0.00278834241139783,0.00273840240828403,0.00270540379894197,0.00270012451896078
の良い,0.0160590139823353,2,0,20,12,4,11,3,7,1,1,2,13,0,5,1,5,2,5,2,14,0,1,2,2,0,0,0,0,0,1,0,1,1,0,0,1,0,4,0,2,0,15,2,0,0,0,0,0,0,0
が良い,0.0147769122859324,24,24,14,17,4,6,3,4,7,4,8,7,1,5,0,1,0,2,1,1,2,2,2,2,1,0,4,1,0,1,3,0,0,1,1,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0
が悪い,0.01167469646704,12,36,6,7,6,3,5,2,0,1,6,0,7,0,2,1,0,0,0,0,0,0,2,1,2,5,0,2,0,0,0,0,2,1,1,2,0,2,0,2,1,0,2,1,0,0,0,1,1,0
も良く,0.00852513836386007,14,7,6,4,12,12,6,6,7,5,6,0,0,1,3,1,6,3,5,0,0,3,1,2,0,0,0,1,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,2,0,0
が良く,0.00850660750629231,6,0,10,10,8,2,5,4,3,5,6,0,0,1,3,1,1,0,2,0,1,1,2,0,4,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,3,0,0,0,0,0,0,0,0,0
は良いです,0.00833539505577563,13,10,5,10,6,3,14,4,2,4,1,0,1,4,2,10,5,0,1,0,6,0,1,0,2,0,3,0,0,7,2,1,1,1,2,0,5,0,1,0,0,0,0,0,2,1,0,1,2,0
が良いです,0.00730569878370859,6,7,7,15,4,5,2,1,2,2,0,2,1,0,0,0,0,0,1,0,2,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0
は良いと,0.00727829361715736,19,8,8,5,10,12,4,5,11,4,1,0,1,8,0,2,0,3,0,0,1,1,2,0,0,0,1,1,0,2,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,1,0,1,0,1
がいいです,0.00627509036079681,6,6,3,12,3,1,1,1,0,1,0,9,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0
はありません,0.00583593126638044,18,9,0,4,11,11,9,6,0,2,1,1,0,0,1,8,4,1,0,0,2,1,1,0,1,0,6,0,158,1,1,0,1,2,3,0,9,0,0,0,0,0,0,0,2,2,1,0,6,1
がいい,0.00561402967721614,9,10,4,1,1,1,1,5,1,4,1,9,1,1,3,1,1,2,0,3,1,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1
もよく,0.00559274269988635,11,6,5,4,5,6,5,1,1,2,0,0,0,1,6,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,6,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0
が良いと,0.00476111442671803,13,2,9,6,2,1,1,2,1,1,0,0,1,2,0,2,4,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1
がよく,0.00424197796722824,1,1,5,5,3,0,1,0,1,1,4,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
も良いです,0.0040739572352072,5,5,4,1,9,2,4,0,2,2,0,0,1,0,4,0,3,0,2,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,1
がよい,0.00403917664416114,1,6,3,6,2,3,0,0,1,1,0,2,1,3,0,0,0,4,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,1
