"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,はありません,のよい,を考えると,がよく,も良いと,がよい,も良いです,の取れた,は思います,は良好です,が良いので,の高い,はいいと,はいいです,は良い,が悪いと,が高い,のとれた,が悪く,は良く,もいいです,も良い,がいいと,を考えれば,が悪いです,もいい,の悪い,がいいので,は最高です,に優れた,が良くて,は抜群です,も良いので,がよいです,もありません,も良好です,がいいですね,は感じです
weight,"",0.000310701023499765,0.000192765038230771,0.000131469097238927,0.000114747463984332,0.000111745507298243,0.000103048791391488,9.88176357862859e-05,9.47515017042552e-05,8.37379934075215e-05,7.79737200046816e-05,7.29156469717654e-05,6.86887640291183e-05,6.419619437042e-05,6.38773511706064e-05,6.21565936842301e-05,5.88613159850563e-05,5.66769044134756e-05,5.24128751981513e-05,5.03169006853864e-05,4.93873670601095e-05,4.88762780068887e-05,4.85589831987754e-05,4.33406213225146e-05,4.29825380128968e-05,4.27853525750035e-05,3.79538794881239e-05,3.73868554902365e-05,3.54985753963624e-05,3.52145242178666e-05,3.47540731163733e-05,3.41962780972084e-05,3.40214342679244e-05,3.34742772301796e-05,3.14291870546455e-05,2.95268079616129e-05,2.91263690972781e-05,2.79220391541827e-05,2.652700182008e-05,2.63300247014074e-05,2.57064301980863e-05,2.44493967507615e-05,2.40592498790446e-05,2.38466707081359e-05,2.29538942660626e-05,2.24854765679797e-05,2.18930012517351e-05,2.16547472760068e-05,2.12981339058834e-05,2.05751827030062e-05,1.98282056271436e-05
バランス,0.000411902687321678,20,14,10,6,6,5,7,8,3,5,4,9,0,6,8,5,11,3,4,27,0,3,2,2,4,0,2,4,2,19,2,3,0,1,4,5,2,2,0,0,0,0,1,1,3,0,0,0,1,0
画質,0.000301224134424529,2,24,6,12,14,13,6,19,6,11,9,13,18,1,2,1,6,1,5,0,28,2,5,0,11,11,7,4,0,0,0,7,9,10,1,2,4,4,2,1,7,1,2,1,0,0,6,2,1,2
使い勝手,0.000256711328260517,12,17,10,7,4,10,15,5,12,4,1,6,4,5,4,5,1,6,1,0,1,5,3,0,3,3,1,1,0,0,1,1,1,1,3,0,2,1,0,1,2,0,1,0,0,5,1,1,4,0
操作性,0.000192581532128874,4,4,8,6,12,6,4,10,3,5,1,2,11,0,3,3,6,2,9,0,11,6,2,0,9,4,2,0,3,0,0,2,3,8,0,1,2,5,1,2,1,2,0,6,1,1,1,3,1,3
携帯性,0.000168624828752683,11,6,2,3,12,3,5,12,1,6,1,1,11,0,3,0,2,3,2,0,12,3,1,0,0,10,3,2,1,0,2,4,1,1,1,3,1,0,0,5,1,5,1,17,1,0,1,0,0,2
持ち,0.000163390496499939,0,22,0,30,0,5,4,6,1,0,9,2,7,0,0,1,0,6,0,0,0,0,2,0,0,1,3,5,0,0,6,2,0,0,1,0,9,0,0,6,1,0,1,1,0,1,0,0,0,2
ホールド感,0.000135020216482581,3,3,5,5,6,14,2,4,1,5,1,1,9,0,0,1,0,0,4,0,4,9,3,0,0,2,7,0,1,0,3,1,3,1,1,1,0,3,0,1,0,0,1,4,4,1,5,2,0,3
写り,9.97870675323387e-05,7,4,4,2,4,4,1,5,1,1,5,2,6,1,0,0,2,0,0,0,4,1,1,0,2,7,3,1,0,0,0,2,0,2,1,2,0,3,0,2,4,0,2,0,0,0,8,0,0,1
コストパフォーマンス,9.07553224146945e-05,5,5,1,0,1,4,0,8,0,1,1,2,0,0,10,0,2,3,0,0,2,0,0,36,1,1,0,0,14,0,0,0,0,0,0,3,0,1,0,1,9,33,0,2,0,0,0,0,0,0
