"",weight,バランス,画質,使い勝手,持ち,操作性,携帯性,ホールド感,写り,質感,デザイン,コストパフォーマンス,気持ち,レスポンス,レンズ,発色,評判,描写,不満,性能,色乗り,もち,相性,感触,精度,ホールド性,感じ,色のり,視認性,天気,液晶,価格,色,バッテリー,カメラ,質,重さ,感度,機能,画像,解像度,大きさ,出来,位置,ボケ味,操作感,重量バランス,AF,補正,描写力,値段,反応,ヌケ,ボケ,問題,AF精度,解像感,ホールド,切れ,音,機能性,色合い,条件,コントラスト,取り回し,見た目,シャッター音,場合,・操作性,満足度,グリップ感
weight,"",0.0327964180693175,0.0324977152834065,0.0228982716408867,0.020367419659025,0.0197513102915937,0.0171937921338708,0.0143193655067486,0.00954087434626998,0.00918457314707202,0.00874631387063659,0.00734198871931826,0.00729404849241491,0.00638186062706842,0.00534384054846302,0.00530682709069794,0.00494781405649034,0.00484337170519108,0.00470090946365261,0.00458296036332403,0.00398559024657369,0.00379088201096964,0.00355042551204367,0.00340170467613838,0.00299661368219107,0.00293705648488154,0.00286112049049335,0.00284530297201687,0.00265456935656935,0.00249438535241624,0.00243442901502725,0.00233068202320323,0.00228480837042686,0.0022809728637431,0.00226140030412292,0.00223399587051809,0.00218569412081103,0.00214833177786685,0.00213277516980379,0.00209654315575959,0.00202108139059997,0.00201731707097353,0.00198599024821019,0.00194260188342106,0.00193513181249783,0.00192707424882814,0.00191203299506403,0.00190049891406177,0.00189695753592677,0.00186586654644974,0.00178067000062319,0.00177600720660003,0.00175367828900992,0.00174353945124733,0.00172620667967882,0.00169147270024091,0.00164966181234549,0.00164075373035452,0.00163398162755408,0.00160210958414286,0.0015160290355473,0.00150785064875807,0.00150454512289671,0.00146237336999015,0.00144107622682715,0.00133985727324007,0.001336640846815,0.00125890941915727,0.00125459655989439,0.00110560277191514,0.00105563255583605
の良い,0.0123360958510382,20,2,12,0,4,11,3,7,1,1,5,13,2,5,1,14,2,0,5,2,0,1,0,2,0,0,1,2,15,1,0,0,0,3,4,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,4,0,0,1,2,1,0,0,0,0,0,0,0
が良い,0.0090513589793129,14,24,17,24,4,6,3,4,4,7,5,7,8,1,0,1,0,0,2,1,1,2,2,2,1,4,0,2,2,1,0,1,1,0,0,3,0,3,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,3,0,1
が悪い,0.00601318627639802,6,12,7,36,6,3,5,2,1,0,0,0,6,1,2,0,0,0,0,0,7,0,0,2,2,0,0,1,0,0,0,2,0,0,2,0,2,1,1,1,0,0,5,0,0,1,1,0,0,0,2,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1
が良く,0.00583064005729555,10,6,10,0,8,2,5,4,5,3,1,0,6,1,3,0,1,0,0,2,0,1,1,2,4,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0
も良く,0.00547192704119849,6,14,4,7,12,12,6,6,5,7,1,0,6,1,3,0,6,0,3,5,0,3,0,1,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,4,0,1,2,0,1,1,0,1,0,1,2,0,1,0,0,0,0
は良いです,0.00526582724950698,5,13,10,10,6,3,14,4,4,2,4,0,1,10,2,0,5,0,0,1,1,0,6,1,2,3,1,0,0,7,0,0,5,2,0,2,0,0,2,1,2,1,0,0,1,0,2,0,1,0,0,0,1,0,1,1,5,0,0,3,0,0,0,0,0,0,3,0,0,1
が良いです,0.00455596693965877,7,6,15,7,4,5,2,1,2,2,0,2,0,0,0,0,0,0,0,1,1,2,2,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
は良いと,0.00451930881779409,8,19,5,8,10,12,4,5,4,11,8,0,1,2,0,0,0,0,3,0,1,1,1,2,0,1,1,0,0,2,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,4,0,0,0
はありません,0.00443634182077284,0,18,4,9,11,11,9,6,2,0,0,1,1,8,1,0,4,158,1,0,0,1,2,1,1,6,0,0,0,1,0,0,9,6,0,1,0,4,3,2,2,0,0,1,0,0,6,1,2,0,0,0,0,36,1,0,1,0,0,1,0,0,0,0,0,0,2,2,1,1
がいいです,0.00391356893916329,3,6,12,6,3,1,1,1,1,0,0,9,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,1
