"",weight,の高い,は高いです,が高い,は高いと,が高いです,の良い,に優れた,が良い,を考えると,は高い,が高いと,が高く,は良いと,は良いです,は最高です,も良く,も高く,があります,は5です,が良く,はしました,はありません,は思います,が高いので,が悪い,は高く,は満点です,を考えれば,もよく,が良いです,も高い,のある,がいい,がいいです,も良いと,があり,がよい,が良いと,は最高だと,はあります,はしましたが,がある,はあると,はいいです,をしました,が低い,も良いです,は高いですね,のよい,はいいと,は最高ですね,があると,がよく,も良い,に優れていると,は5と,の強い,に優れている,はいいですね,は感じです,もありません,が良いので,はします,は良好です,は抜群です,から考えると,は大満足です,はありますが,は抜群だと,で言えば,が多い,は良い,が高かった,の取れた,を持った,は抜群,は良く,は素晴らしいです,といい,もいいです,も高いので,がいいので,もいい,が悪いと,はものです,を含め,もいいですね,をしたのは,も高いです,が悪く,も含めて,が素晴らしい,は低いです,はありませんが,はよいと,が得られる,は高いですが,は5ですが,は思いますが,を考えたら
weight,"",0.00940366401289363,0.0042463388560841,0.00395614003415164,0.00288567291863148,0.00219775351908935,0.00206695961288365,0.00174458474917458,0.00155768114661176,0.00123847545648734,0.00118941254904878,0.0011886940442533,0.00115068454254644,0.00112063928290482,0.00104680076269239,0.000886152394352372,0.000875367124956985,0.000863893982342869,0.000827374306354641,0.000813085264378603,0.000812965026079402,0.000808524443550517,0.000800662721415603,0.000764936795145004,0.000763892211294379,0.00072729678395032,0.00062843218127532,0.000610988339840311,0.000610194153001457,0.00057424487258194,0.000567016285148824,0.000544148384122641,0.000511520802043437,0.000505237515396167,0.000486786509692539,0.000480575027881363,0.00047725120140013,0.000470509460671689,0.00046742798691228,0.00046069896829583,0.000456851771620649,0.000441226212164024,0.000396053075619182,0.000386707507607468,0.000376910776341737,0.000376280468688668,0.000370451305479887,0.000362801382786026,0.000354718090258135,0.000351713534843472,0.000346446228043912,0.000340052053387407,0.000337940432564613,0.000318244027143962,0.000316931682462032,0.00031098538278904,0.000310802583542375,0.000308610062409556,0.000299359001398583,0.000297573227351476,0.000288871364629879,0.000288698970922075,0.000288487234616035,0.000284332362638976,0.00028049589044865,0.000279132974248723,0.000278579777313659,0.000273245198607531,0.000272319914710077,0.000269652923671331,0.000263280514939412,0.00025964647052308,0.000253935975010048,0.000253728400539438,0.00025363052197261,0.00025295453934813,0.000251381047142816,0.00025039400756374,0.000250287976283996,0.000247725417869408,0.000245501517117878,0.000241837771109514,0.000241457005682637,0.000239753472243278,0.000239510659967997,0.000234304462715588,0.0002336844247448,0.000230905380387322,0.000229455361079813,0.000226210486661452,0.000223009993717164,0.000220145849776839,0.000214879788216696,0.000214825153336982,0.000209719470871825,0.00020825651127124,0.00019797423098451,0.00019089948215126,0.000189186334378407,0.000188127410067644,0.000187611653412775
満足度,0.0119122320066624,45,68,7,10,16,0,0,0,0,13,3,2,0,0,3,0,0,0,14,0,11,1,1,2,0,6,10,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,2,0,4,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,1,2,3,1,0
コストパフォーマンス,0.00982531196337237,36,4,14,24,4,5,33,5,10,2,6,4,8,4,9,1,4,0,0,1,0,0,2,2,0,0,0,3,1,0,3,0,1,0,2,0,3,2,9,0,0,0,1,1,0,0,0,2,0,1,3,0,0,0,7,0,0,3,3,0,0,0,0,0,2,3,0,0,5,1,0,0,0,0,3,4,0,3,1,0,1,1,1,0,0,3,3,0,1,0,2,2,0,0,2,0,1,0,0,2
完成度,0.00390128449481689,37,3,11,7,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
画質,0.00328013523026762,0,0,0,0,0,2,1,24,2,0,0,0,19,13,7,14,0,1,1,6,3,18,28,0,12,2,0,2,11,6,0,0,9,6,6,1,1,13,1,6,1,0,0,11,0,1,5,0,1,11,1,1,1,10,0,1,0,0,2,2,6,5,7,2,1,0,4,9,0,1,0,7,0,0,0,0,7,4,3,9,0,1,4,4,11,0,1,1,0,0,1,1,0,4,1,6,0,1,7,0
バランス,0.00264293821643901,2,0,2,0,1,20,0,14,8,0,0,0,8,5,0,6,0,0,0,10,0,0,0,0,6,0,0,5,5,7,0,0,4,3,11,0,3,9,1,0,0,0,0,0,0,0,4,0,6,4,0,0,5,1,0,0,0,0,2,0,0,2,1,3,1,0,0,0,0,0,0,2,0,27,0,0,3,0,0,0,0,0,2,4,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1
携帯性,0.00255742011733313,0,0,1,0,0,11,5,6,3,0,1,0,12,3,1,12,1,0,0,2,4,11,12,1,3,0,1,3,6,5,0,0,1,1,2,0,3,1,0,1,1,0,0,10,2,0,2,0,0,0,0,1,0,1,1,0,0,4,0,2,1,1,0,3,17,1,1,0,0,1,0,3,0,0,0,6,4,1,1,1,0,5,0,2,2,0,1,4,0,2,0,0,0,7,2,0,0,1,2,1
質感,0.002557162089035,5,2,9,2,2,1,0,4,0,2,2,6,4,4,4,5,4,3,0,5,0,2,2,0,1,0,0,0,2,2,0,2,4,1,3,4,1,1,0,6,0,1,0,5,0,1,2,0,0,2,0,2,1,6,0,0,0,0,1,4,0,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,4,5,0,0,0,0,1,0,0,0,2,0,3,1,0,1,0,0,0,0,1,0
評価,0.00251580026913713,12,2,4,0,2,1,0,0,0,0,3,4,1,0,1,0,0,1,6,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0
操作性,0.0021584543261378,0,1,3,0,0,4,2,4,3,0,0,1,10,6,1,12,0,0,0,8,5,11,11,0,6,0,2,1,5,4,0,0,1,3,6,1,2,2,0,1,0,0,0,4,3,0,9,0,0,9,0,0,3,8,1,0,0,0,1,3,1,2,0,6,6,0,0,3,0,0,0,2,0,0,0,0,2,0,1,3,0,2,5,0,2,0,0,5,0,0,1,1,0,1,0,0,0,0,3,0
解像度,0.00190558630931363,5,2,6,0,2,0,0,1,0,0,0,8,0,1,0,1,7,0,0,0,1,2,1,2,1,4,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
使用頻度,0.00190545300041571,10,2,11,0,4,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
価格,0.00170915268413465,0,1,9,3,1,0,0,0,45,0,2,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,27,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,5
使い勝手,0.00170330929602563,0,0,0,0,0,12,0,17,4,0,0,0,5,10,2,4,0,1,0,10,0,4,1,0,7,0,0,0,4,15,0,0,1,12,1,0,6,6,0,0,0,0,0,3,0,0,1,0,5,3,1,0,5,1,0,0,0,0,0,0,1,3,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
コントラスト,0.00158226474293485,11,0,5,0,0,1,0,1,0,1,0,1,0,0,0,1,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
値段,0.0014581076494823,1,1,9,0,2,0,0,0,27,0,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,5
