"",weight,が良い,が悪い,の良い,も良く,が良く,は良いです,が良いです,は良いと,はありません,がいいです,がいい,もよく,が良いと,がよい,も良いです,がよく,は思います,を考えると,もいいです,も良いと,のよい,は良好です,はいいと,も良い,はいいです,が悪いです,が悪く,は良い,が良いので,が悪いと,の高い,は良く,が高い,の取れた,がいいので,にありません,がいいと,はいいですね,もありません,は感じです,は悪いです,は抜群です,は最高です,が良くて,もいい,が良くない,も良いので,も良好です,を考えれば,はありませんが,のとれた,が悪いので,が弱いです,も良いし,になります,も満足しています,があり,はありますが,がよいです,が感じます,はします,はよいです,がいいですね,に優れた,のある,があります,は良いのですが,はあります,も悪くなく,もなく,の悪い,は方だと,は良いですね,には満足しています,は思いますが,は悪くないです,をする,は満足しています,は満足です,はあり,といい,にある,は気に入っています,もいいですね,が悪いのが,も高く,はよいと,がイマイチ,は悪くないと,は感じます,はいい,がよいと,は高いと,という点では,で決めました,に満足しています,がある,が良いとは,が高く,にありますが
weight,"",0.0246036279096618,0.0236487456306806,0.0231611948758889,0.0132004686629063,0.0131791854762173,0.013178991179416,0.0108977422874802,0.0108866755216033,0.0104530745616705,0.00903191635122391,0.00887027953396258,0.00821523366259985,0.00684513218804644,0.00655641551220915,0.00641001493992237,0.00640782839488013,0.00634243525779809,0.00550178949688117,0.00533419303668455,0.00510357375632673,0.00505514272311451,0.00494108651515084,0.00488801021547467,0.00474417011406008,0.00461396734189546,0.00459617606117018,0.00452255788387206,0.00443351177101391,0.00426384314982103,0.00425685375065637,0.0040711676888537,0.00389789972826313,0.00363226629026802,0.0035727882983008,0.00356102191444539,0.0030598905579054,0.00298724273336088,0.00297440900727703,0.00292429287763916,0.00289434125255461,0.00281223682606132,0.00280727393600197,0.00280317200146205,0.00270041574300969,0.0026955510846707,0.00263857783077537,0.00262076643750357,0.00257700781738812,0.00255770261656655,0.00253541452587898,0.00251418435806353,0.0024340808078149,0.00241629373163288,0.0024130934633132,0.00228019995861266,0.00224861386047142,0.00224502622357733,0.0021915467542924,0.00218707100367587,0.00216484995286293,0.00213459937955065,0.00212080780607788,0.00206356358789558,0.00205240681983907,0.00202017958376018,0.00200385757149267,0.00199768536259984,0.00198911709846451,0.00195259660385738,0.00182187615038559,0.00175051013313191,0.00173716162077559,0.00172903622766008,0.00172632177417748,0.00172321105791004,0.00170681402397414,0.00167413699988902,0.0016428901997881,0.00163456458388901,0.00162149418250738,0.00158406172821234,0.00155616182252151,0.00154750195160244,0.00151342587083473,0.00150821247402668,0.00150238176970649,0.00150229554317549,0.00148880599255193,0.00148798000031192,0.00146594494368573,0.00140425240937219,0.00139257409304019,0.00139203145732853,0.00139195122203834,0.00137448761872989,0.00135631357840538,0.00134302254139275,0.0013256061583013,0.0013107005061365,0.00130330982180614
画質,0.0463359747244919,24,12,2,14,6,13,6,19,18,6,9,11,13,1,5,1,28,2,9,6,1,2,11,10,11,4,0,7,5,4,0,7,0,0,1,3,1,2,6,2,3,1,7,2,4,1,0,2,2,4,0,2,0,2,5,11,1,9,0,0,7,2,1,1,0,1,4,6,3,5,2,2,5,12,7,0,2,8,7,8,3,3,5,1,0,0,1,1,1,8,3,0,0,2,0,4,0,2,0,1
バランス,0.0399643919847537,14,6,20,6,10,5,7,8,0,3,4,5,9,3,4,5,0,8,0,11,6,3,4,1,0,2,2,2,2,4,2,3,2,27,0,0,4,2,0,0,1,1,0,1,2,1,3,0,5,0,19,1,0,0,1,1,0,0,0,3,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
使い勝手,0.0314609758532154,17,7,12,4,10,10,15,5,4,12,1,4,6,6,1,5,1,4,1,1,5,5,3,1,3,2,1,1,3,1,0,1,0,0,1,1,3,0,1,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,4,0,0,1,0,0,1,1,0,0,1,1,0,3,0,1,1,0,0,0,1,1,2,0,1,0,2,0,0,1,0,2,0,1,0,2,0,0
持ち,0.029625413491077,22,30,0,0,0,5,4,6,7,1,9,0,2,6,0,1,0,0,0,0,0,0,0,0,1,9,6,3,2,5,0,2,0,0,6,0,1,2,0,2,5,1,1,1,0,5,0,0,0,1,0,4,0,0,0,0,0,1,1,1,2,2,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
操作性,0.0268507697778155,4,6,4,12,8,6,4,10,11,3,1,5,2,2,9,3,11,3,3,6,0,6,9,8,4,2,0,2,2,0,0,2,3,0,2,3,0,1,1,3,3,6,1,0,5,1,1,3,1,1,0,0,0,1,0,2,1,3,1,0,0,4,1,2,0,0,4,1,1,2,1,0,1,1,3,0,0,1,2,1,1,1,1,0,0,0,0,1,1,2,2,1,0,4,2,1,0,0,1,0
携帯性,0.0241560674915119,6,3,11,12,2,3,5,12,11,1,1,6,1,3,2,0,12,3,1,2,0,3,0,1,10,1,2,3,1,2,0,4,1,0,5,1,1,0,1,2,5,17,1,1,0,0,1,0,3,7,0,2,0,1,0,0,0,0,0,0,0,3,0,5,0,0,5,1,1,1,0,0,1,1,2,0,0,2,2,0,1,0,0,1,0,1,2,0,2,1,0,1,0,3,1,0,0,3,0,0
ホールド感,0.0201418952192751,3,5,3,6,5,14,2,4,9,1,1,5,1,0,4,1,4,0,3,0,0,9,0,1,2,0,3,7,3,0,0,1,1,0,1,2,1,0,5,3,1,4,0,1,3,2,4,2,1,2,0,0,0,0,0,2,2,0,1,1,3,2,0,0,0,1,3,3,1,0,0,1,1,1,2,1,0,0,1,2,2,0,2,0,0,0,1,1,0,1,2,3,0,0,0,0,0,1,1,1
デザイン,0.0144256788297518,7,0,1,7,3,2,2,11,0,0,1,1,1,1,2,1,11,0,3,4,0,1,6,2,3,0,0,2,2,0,0,0,0,0,0,0,1,0,1,5,0,0,2,0,2,0,0,0,0,2,0,0,0,2,1,1,0,4,0,0,3,1,4,0,1,0,2,2,1,0,0,1,2,0,3,1,0,2,0,5,1,0,13,0,0,0,3,0,3,5,0,0,0,0,6,0,0,0,0,0
写り,0.0142016069462947,4,2,7,4,4,4,1,5,6,1,5,1,2,0,0,0,4,0,0,2,1,1,2,2,7,0,0,3,1,1,0,2,0,0,2,2,1,4,8,1,0,0,4,2,3,0,0,0,2,0,0,0,0,1,3,1,0,1,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,3,0,1,18,3,2,2,0,2,0,0,0,1,2,0,0,1,1,2,0,0,0,2,0,1,0,1
