"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,はありません,がいいです,がいい,もよく,が良いと,がよい,がよく,も良いです,は思います,を考えると,も良いと,のよい,は良好です,はいいと,もいいです,はいいです,が良いので,が悪く,が悪いです,は良い,が悪いと,の取れた,は良く,も良い,の高い,がいいので,が高い,がいいと,のとれた,もありません,もいい,が良くて,は感じです,も良いので,はいいですね,は悪いです,は最高です,は抜群です,も良好です,が良くない,を考えれば,が悪いので,がよいです,が感じます,がいいですね,も満足しています,はよいです,はありませんが,はします,にありません,はありますが,になります
weight,"",0.0188796665959938,0.0171916329639772,0.0133153921516597,0.00995737901609891,0.00965313833011006,0.00956259366869285,0.00822430303687371,0.00808348143067023,0.00728477590742071,0.00689748866392478,0.00645663703398886,0.00637324784537392,0.00533942468653913,0.0050227662398274,0.00468579034537562,0.00448051658170109,0.0043238461257341,0.00413584056526644,0.00411048690585862,0.00407786352426843,0.00390837451270175,0.00359472165481622,0.00356187129709542,0.00329679415628177,0.00327615627875391,0.00325878780530927,0.00325491847188158,0.00324811744510388,0.00314661720963429,0.00309643171626201,0.00302042838010706,0.00299565207154818,0.00260558924636555,0.00257064851613142,0.0024213633751751,0.00227707295886051,0.00217897046699919,0.00216975343695881,0.00209177835271678,0.00205414843619348,0.00204563158031737,0.00203855306634415,0.0019915810222804,0.00198341741035759,0.00196580372348449,0.00195389212561912,0.00191959660394732,0.00182243952408246,0.00174208353616569,0.00172863913913026,0.00172696514525488,0.00164808500422148,0.00159964557752204,0.00159439621418428,0.00156181762259327,0.00154875927891851,0.00152899882229705,0.00151525595491508,0.00148680121358982,0.00147987938996795
バランス,0.0306879892637737,20,14,6,10,6,5,7,8,0,3,4,5,9,3,5,4,0,8,11,6,3,4,0,0,2,2,2,2,4,27,3,1,2,0,2,4,19,0,2,1,0,3,2,1,0,1,0,1,5,1,0,3,1,1,1,0,1,0,0,1
画質,0.028470494790708,2,24,12,6,14,13,6,19,18,6,9,11,13,1,1,5,28,2,6,1,2,11,9,11,5,0,4,7,4,0,7,10,0,1,0,1,0,6,4,2,2,0,2,3,7,1,2,1,2,2,0,0,1,11,2,4,7,3,9,5
使い勝手,0.0210700286067311,12,17,7,10,4,10,15,5,4,12,1,4,6,6,5,1,1,4,1,5,5,3,1,3,3,1,2,1,1,0,1,1,0,1,0,3,0,1,1,1,0,0,0,0,2,0,1,1,0,0,5,1,4,0,0,0,0,1,0,0
持ち,0.0185024599795084,0,22,30,0,0,5,4,6,7,1,9,0,2,6,1,0,0,0,0,0,0,0,0,1,2,6,9,3,5,0,2,0,0,6,0,1,0,0,0,1,2,0,2,5,1,1,0,5,0,4,1,1,0,0,2,1,2,0,1,0
操作性,0.0174426022125914,4,4,6,8,12,6,4,10,11,3,1,5,2,2,3,9,11,3,6,0,6,9,3,4,2,0,2,2,0,0,2,8,0,2,3,0,0,1,5,0,3,1,1,3,1,6,3,1,1,0,1,0,1,2,4,1,0,3,3,0
携帯性,0.0151608118618216,11,6,3,2,12,3,5,12,11,1,1,6,1,3,0,2,12,3,2,0,3,0,1,10,1,2,1,3,2,0,4,1,0,5,1,1,0,1,0,1,2,1,0,5,1,17,0,0,3,2,0,0,0,0,3,7,0,1,0,0
ホールド感,0.0126623729361862,3,3,5,5,6,14,2,4,9,1,1,5,1,0,1,4,4,0,0,0,9,0,3,2,3,3,0,7,0,0,1,1,0,1,1,1,0,5,3,1,3,4,0,1,0,4,2,2,1,0,1,1,0,2,2,2,3,2,0,0
写り,0.00862048727985051,7,4,2,4,4,4,1,5,6,1,5,1,2,0,0,0,4,0,2,1,1,2,0,7,1,0,0,3,1,0,2,2,0,2,0,1,0,8,3,2,1,0,4,0,4,0,0,0,2,0,0,0,0,1,0,0,2,2,1,3
質感,0.00789271808146903,1,4,1,5,5,4,2,4,2,1,4,2,1,1,1,2,2,0,3,0,1,2,5,5,0,0,0,0,0,0,0,6,5,0,9,0,0,0,0,1,4,0,1,0,4,0,2,0,0,0,0,1,2,1,1,1,1,0,3,0
デザイン,0.00767215197605746,1,7,0,3,7,2,2,11,0,0,1,1,1,1,1,2,11,0,4,0,1,6,3,3,2,0,0,2,0,0,0,2,0,0,0,1,0,1,2,0,5,0,0,0,2,0,0,0,0,0,0,0,4,1,1,2,3,0,4,1
気持ち,0.00673978646935214,13,7,0,0,0,0,2,0,1,9,9,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,2
レスポンス,0.00577769156602974,2,8,6,6,6,1,0,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
コストパフォーマンス,0.00558748796089927,5,5,0,1,1,4,0,8,0,0,1,1,2,3,0,0,2,10,2,0,0,1,0,1,0,0,0,0,0,0,0,0,36,1,14,0,0,0,1,0,0,0,3,0,9,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
発色,0.00470814712173001,1,0,2,3,3,2,0,0,1,0,3,6,0,0,1,4,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,1,0,0,0,1,0,4,0,0,2,0,0,3
