"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,はありません,もよく,がいい,が良いと,のよい,を考えると,がよく,も良いと,がよい,も良いです,は思います,は良好です,の取れた,の高い,が良いので,はいいと,はいいです,は良い,が高い,が悪いと,もいいです,は良く,が悪く,のとれた,も良い,がいいと,を考えれば,が悪いです,もいい,がいいので,の悪い,は最高です,もありません,に優れた,が良くて,は抜群です,も良いので,がよいです,も良好です,は感じです,はいいですね,がいいですね,があり,が感じます,は悪いです,になります,はありませんが,も満足しています,が良くない,はありますが,はあります
weight,"",0.000838672014905125,0.000533911681489605,0.000358602860256426,0.000327771345472489,0.000321318069167168,0.000299939340459696,0.000278000120275887,0.000265401182131828,0.000235099419544489,0.000227254557066666,0.000217700733997216,0.000204229093193295,0.000189133830705827,0.000177424059737881,0.000170162728944156,0.000165894115963739,0.000158048386974357,0.000149394457848112,0.000145833100904729,0.000140946941289032,0.000133701496829153,0.000132926067371238,0.00013128758831615,0.000123187224474125,0.00012274134487827,0.000107021975386918,0.000104465760316117,0.000102523258495839,0.000101434385211131,9.54497104391994e-05,9.51664349527598e-05,9.47895377581893e-05,9.35405659279085e-05,8.8806345039186e-05,8.55321751337911e-05,7.9794117556948e-05,7.92818937303005e-05,7.71224848921284e-05,7.27622328046786e-05,7.20696156338683e-05,7.00892733661619e-05,6.85582976489055e-05,6.76074973957012e-05,6.59751245939962e-05,6.45429270544959e-05,6.34305031461624e-05,5.97916486776264e-05,5.90378602480183e-05,5.88775850403597e-05,5.85643323689443e-05,5.63259303568767e-05,5.50120962877646e-05,5.41041788958753e-05,5.34691841369117e-05,5.19536819422681e-05,5.10958650302215e-05,4.89163008529962e-05,4.83859046091842e-05,4.83164346943967e-05,4.76852562666608e-05
バランス,0.00114817507778051,20,14,10,6,6,5,7,8,3,0,5,4,9,6,8,5,11,3,4,0,3,27,2,2,4,0,2,2,4,0,3,2,19,1,4,5,2,2,0,0,0,0,0,1,1,3,0,0,0,2,1,0,3,1,1,0,1,1,0,0
画質,0.00090116105485007,2,24,6,12,14,13,6,19,6,18,11,9,13,1,2,1,6,1,5,28,2,0,0,5,11,11,7,0,4,9,7,0,0,10,1,2,4,4,1,2,7,6,1,2,1,0,0,2,2,2,1,1,0,3,5,4,11,1,9,6
使い勝手,0.00072135405413476,12,17,10,7,4,10,15,5,12,4,4,1,6,5,4,5,1,6,1,1,5,0,0,3,3,3,1,0,1,1,1,1,0,1,3,0,2,1,1,0,2,1,0,1,0,0,5,1,0,0,4,0,1,0,0,0,0,1,0,0
操作性,0.000563485153444425,4,4,8,6,12,6,4,10,3,11,5,1,2,0,3,3,6,2,9,11,6,0,0,2,9,4,2,3,0,3,2,0,0,8,0,1,2,5,2,1,1,1,2,0,6,1,1,3,3,1,1,1,0,3,0,1,2,1,3,1
持ち,0.000504939644742299,0,22,0,30,0,5,4,6,1,7,0,9,2,0,0,1,0,6,0,0,0,0,0,2,0,1,3,0,5,0,2,6,0,0,1,0,9,0,6,0,1,0,0,1,1,0,1,0,2,2,0,0,1,5,0,1,0,5,1,0
携帯性,0.00049527274228546,11,6,2,3,12,3,5,12,1,11,6,1,1,0,3,0,2,3,2,12,3,0,0,1,0,10,3,1,2,1,4,2,0,1,1,3,1,0,5,0,1,1,5,1,17,1,0,0,2,0,0,0,0,5,0,7,0,0,0,1
ホールド感,0.000401979643793859,3,3,5,5,6,14,2,4,1,9,5,1,1,0,0,1,0,0,4,4,9,0,0,3,0,2,7,1,0,3,1,3,0,1,1,1,0,3,1,0,0,5,0,1,4,4,1,2,3,0,0,2,1,1,0,2,2,2,0,3
写り,0.000291552147888715,7,4,4,2,4,4,1,5,1,6,1,5,2,1,0,0,2,0,0,4,1,0,0,1,2,7,3,0,1,0,2,0,0,2,1,2,0,3,2,0,4,8,0,2,0,0,0,0,1,4,0,0,0,0,3,0,1,0,1,1
質感,0.000263288044389939,1,4,5,1,5,4,2,4,1,2,2,4,1,0,0,1,3,1,2,2,1,0,5,0,2,5,0,9,0,5,0,0,0,6,0,0,0,0,0,0,4,0,0,1,0,0,0,2,4,1,2,4,1,0,0,1,1,0,3,6
コストパフォーマンス,0.000262869388764937,5,5,1,0,1,4,0,8,0,0,1,1,2,0,10,0,2,3,0,2,0,0,36,0,1,1,0,14,0,0,0,0,0,0,0,3,0,1,1,0,9,0,33,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
デザイン,0.000253188187650472,1,7,3,0,7,2,2,11,0,0,1,1,1,0,0,1,4,1,2,11,1,0,0,2,6,3,2,0,0,3,0,0,0,2,1,0,0,2,0,0,2,1,0,0,0,0,0,0,5,0,4,0,0,0,1,2,1,0,4,2
気持ち,0.000246810814011009,13,7,0,0,0,0,2,0,9,1,0,9,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,1,0,0
