"",weight,の高い,は高いです,が高い,の良い,は高いと,が良い,が高いです,に優れた,が悪い,は良いです,は良いと,を考えると,が良く,も良く,は高い,はありません,が高く,が高いと,は思います,は最高です,が良いです,もよく,も高く,があります,はしました,がいいです,がいい,は5です,が高いので,が良いと,も良いと,を考えれば,がよい,は高く,は満点です,のある,も良いです,のよい,がよく,はいいです,があり,も高い,はあります,はいいと,は最高だと,は良好です,も良い,が良いので,はしましたが,がある,はあると,の取れた,は良い,もいいです,もありません,は良く,があると,はいいですね,が弱いです,が悪いと,をしました,は抜群です,は最高ですね,は感じです,もいい,はします,が悪く,はありますが,は高いですね,がいいので,に優れていると,に優れている,が低い,といい,は5と,はありませんが,は素晴らしいです,のとれた,が悪いです,は抜群だと,は大満足です,もいいですね,から考えると,は抜群,の悪い,も含めて,がいいと,を持った,はものです,はよいと,で言えば,の強い,を含め,も良いので,が多い,をしたのは,になります,はあり,が良くて,は思いますが
weight,"",0.0196982965329144,0.00882933579083601,0.00842758016044789,0.0068750653883734,0.00622661371941448,0.00503819455838806,0.00438556597780443,0.00408188822560344,0.00352876014920256,0.00334070809555781,0.00332263307022218,0.00319732835583464,0.00295016501139098,0.00292545849847705,0.0025686160226278,0.00254784175925906,0.00253517755077931,0.00248946986641537,0.00216841731398572,0.0021607637660562,0.00206783243556015,0.00199631723228082,0.00193655489023089,0.00192893156716625,0.00180836992189227,0.00175435427822537,0.00173133401220589,0.00171876026460744,0.00167694713474332,0.00163921283005802,0.00152876222567317,0.00150433168079415,0.00148558292463844,0.00136639958695726,0.00131731982024,0.00126086813361398,0.00125467514311099,0.00125336958356085,0.00122610587622598,0.0012055615930422,0.0012019484368383,0.00120051557859344,0.00116937022738765,0.00112349625646184,0.00110175476811494,0.00106239387739092,0.000982213700967757,0.000981312104981866,0.000970788571258866,0.000950816034800308,0.00092798791983372,0.000921257735328036,0.000900098206669372,0.000896461706596375,0.000882262229458409,0.000859512631950559,0.00085237219971355,0.000849846474016419,0.000840957909429482,0.000840125325908423,0.000839069462257727,0.000826237456891736,0.000819494363516735,0.000817295170099509,0.000790392600484479,0.00078031459449182,0.000777591955350665,0.000777230125926699,0.000768953497132157,0.000761894047417036,0.000730430059913975,0.00071125627896941,0.000687232654733555,0.000683912011714219,0.00065839472355254,0.000652377774364552,0.000649208421411181,0.000648292480416026,0.000642591867116854,0.000637577505839288,0.000636056101934157,0.000631804169786489,0.000629388600205149,0.000614282850745683,0.000601377755072066,0.000598260836509892,0.000596456147462898,0.000593904184322855,0.000591555936369065,0.00057693487402706,0.000567737343724906,0.000562045211537154,0.000559089853443364,0.000552703954467459,0.000551353421624197,0.00054516808152632,0.000543808053221305,0.000541343153701278,0.000528062535560889,0.000527237808969822
満足度,0.0243042953821519,45,68,7,0,10,0,16,0,0,0,0,0,0,0,13,1,2,3,1,3,0,0,0,0,11,0,0,14,2,0,0,0,0,6,10,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,5,0,0,0,1,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,1
コストパフォーマンス,0.0219125313703419,36,4,14,5,24,5,4,33,0,4,8,10,1,1,2,0,4,6,2,9,0,1,4,0,0,0,1,0,2,2,2,3,3,0,0,0,0,0,0,1,0,3,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,3,0,1,0,0,0,2,1,7,3,0,1,0,0,3,0,0,5,0,3,3,4,0,2,0,3,0,2,1,0,3,0,0,0,0,0,0,0
画質,0.0101393526030345,0,0,0,2,0,24,0,1,12,13,19,2,6,14,0,18,0,0,28,7,6,11,0,1,3,6,9,1,0,13,6,2,1,2,0,0,5,1,1,11,1,0,6,11,1,2,10,5,1,0,0,0,7,9,6,7,1,2,0,4,0,1,1,2,4,7,0,9,0,1,0,0,1,3,1,4,4,0,4,0,4,1,0,0,2,1,1,0,11,1,1,0,0,0,0,1,5,8,2,7
バランス,0.00996519184028569,2,0,2,20,0,14,1,0,6,5,8,8,10,6,0,0,0,0,0,0,7,5,0,0,0,3,4,0,0,9,11,5,3,0,0,0,4,6,5,0,0,0,0,4,1,3,1,2,0,0,0,27,2,0,0,3,0,2,0,4,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,1,4,0,0,1,0,0,0,3,0,0,1,0,1,0
完成度,0.00777828472201819,37,3,11,0,7,0,1,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
携帯性,0.00721117304330835,0,0,1,11,0,6,0,5,3,3,12,3,2,12,0,11,0,1,12,1,5,6,1,0,4,1,1,0,1,1,2,3,3,0,1,0,2,0,0,10,0,0,1,0,0,3,1,1,1,0,0,0,3,1,1,4,1,0,0,2,2,17,0,2,0,0,2,0,0,5,1,4,0,1,0,7,1,0,1,0,1,1,1,6,0,0,1,0,2,2,1,0,0,1,0,4,0,0,1,2
操作性,0.00652832593966279,0,1,3,4,0,4,0,2,6,6,10,3,8,12,0,11,1,0,11,1,4,5,0,0,5,3,1,0,0,2,6,1,2,0,2,0,9,0,3,4,1,0,1,9,0,6,8,2,0,0,0,0,2,3,1,2,0,1,0,0,3,6,0,3,5,0,0,3,0,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,5,0,1,0,3
質感,0.00618751260622447,5,2,9,1,2,4,2,0,1,4,4,0,5,5,2,2,6,2,2,4,2,2,4,3,0,1,4,0,0,1,3,0,1,0,0,2,2,0,1,5,4,0,6,2,0,1,6,0,0,1,0,0,0,5,0,0,2,1,0,0,0,0,0,4,0,1,0,3,0,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1
使い勝手,0.00599814483701517,0,0,0,12,0,17,0,0,7,10,5,4,10,4,0,4,0,0,1,2,15,4,0,1,0,12,1,0,0,6,1,0,6,0,0,0,1,5,5,3,0,0,0,3,0,5,1,3,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0
評価,0.00521066711177877,12,2,4,1,0,0,2,0,0,0,1,0,0,0,0,0,4,3,0,1,0,0,0,1,4,0,0,6,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,4,4,0,0,1
持ち,0.00451495917208617,0,0,0,0,0,22,0,0,30,5,6,0,0,0,0,7,0,0,0,1,4,0,0,0,0,1,9,0,0,2,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,2,0,2,0,5,0,1,0,2,0,2,6,1,0,6,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
ホールド感,0.00424965692382054,0,1,1,3,0,3,0,0,5,14,4,0,5,6,0,9,1,0,4,0,2,5,0,1,2,1,1,0,0,1,0,1,0,0,1,0,4,0,1,2,2,0,3,0,0,9,1,3,2,0,0,0,7,3,5,1,1,0,0,0,0,4,0,3,3,3,3,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,2,1,2
解像度,0.00416903373083865,5,2,6,0,0,1,2,0,1,1,0,0,0,1,0,2,8,0,1,0,0,1,7,0,1,0,0,0,2,0,0,0,0,4,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,3,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
使用頻度,0.00380217255273998,10,2,11,0,0,0,4,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0
写り,0.00359347067709872,0,0,0,7,0,4,0,0,2,4,5,0,4,4,0,6,0,0,4,4,1,1,1,0,0,1,5,0,0,2,2,2,0,0,0,0,0,1,0,7,0,0,1,2,1,1,2,1,1,0,0,0,3,0,8,2,0,4,0,1,2,0,0,1,3,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,1,3,2,0,0,0,0,0,0,3,2,2,0
価格,0.00348002715019372,0,1,9,0,3,0,1,0,0,0,0,45,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
デザイン,0.00340087460942213,0,0,0,1,0,7,0,0,0,2,11,0,3,7,0,0,0,0,11,2,2,1,0,0,1,0,1,1,0,1,4,0,1,1,1,1,2,0,1,3,0,0,2,6,1,1,2,2,0,0,5,0,2,3,1,0,0,0,0,0,0,0,1,5,2,3,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,2,0,0,0,1,5,0,3
コントラスト,0.00334556330026633,11,0,5,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
性能,0.00297192856650826,1,1,2,5,2,2,0,0,0,0,3,12,0,3,0,1,1,1,4,0,0,0,0,2,0,0,2,0,0,1,0,5,4,1,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,1,1,0,1,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,2,0,1,2,0,0,0,6,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1
満足感,0.00286588670621013,7,6,3,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
精度,0.00274817116629643,1,1,4,2,0,2,1,0,2,1,2,0,2,1,2,1,0,0,0,0,0,0,3,1,0,0,0,0,3,0,2,0,1,3,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0
値段,0.0026137497704776,1,1,9,0,0,0,2,0,0,0,0,27,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
レンズ,0.0023481476358722,0,1,0,5,1,1,0,0,1,10,2,0,1,1,1,8,0,0,6,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,5,0,4,3,0,0,1,0,0,5,4,0,1,0,1,1,2,1,0,0,0,0,1,1,3,6,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,2,2,1,1,1,0,0,0,1,0,1,0,3,5,1,1
解像感,0.00207664529561226,1,0,2,0,2,0,2,0,1,1,1,0,0,2,1,0,2,1,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,1,0,6,1,0,0,0,8,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
評判,0.00195373842176661,3,0,0,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,0.00185399822153411,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,9,9,0,0,0,0,0,2,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
