"",weight,の高い,の良い,は高いです,が良い,が高い,が悪い,は高いと,は良いです,が良く,も良く,は良いと,が高いです,はありません,に優れた,を考えると,が良いです,もよく,は思います,がいいです,がいい,が弱いです,が高く,が良いと,は高い,は最高です,が高いと,がよい,も良いと,も良いです,があります,がよく,も高く,のよい,はいいです,はしました,はいいと,は良好です,が高いので,も良い,を考えれば,が良いので,もいいです,のある,はあります,があり,は良い,は良く,の取れた,は5です,は高く,もありません,が悪いと,が悪く,はいいですね,は感じです,もいい,は満点です,は抜群です,がいいので,が悪いです,は最高だと,がある,も高い,はありますが,はします,がいいと,はあると,はありませんが,のとれた,があると,は最高ですね,はしましたが,も良好です,も良いので,の悪い,も満足しています,といい,が良くて,をしました,になります,は悪いです,もいいですね,は良いのですが,はあり,は素晴らしいです,に優れている,にありません,も含めて,がいいですね,は思いますが,はよいと,はものです,がよいです,は良いですね,が低い,が悪いので,が感じます,に優れていると,はよいです,もなく
weight,"",0.0343836402154843,0.0194364360799229,0.0153837600594918,0.0152898342617862,0.0147953940679953,0.0145401518710243,0.0114213535496293,0.00973341168404452,0.00911397716995487,0.00910844432780093,0.00893596459338657,0.00802323583826977,0.00783489750101604,0.00779617903256027,0.00712021813042188,0.00680800149093535,0.00614832985762808,0.0059572788864939,0.00580932976599571,0.00551968292433508,0.00542560353920319,0.00497145014171796,0.00484362228199603,0.00467310283947097,0.00461054570152423,0.00452265276163341,0.00452109329576631,0.00423319816982631,0.00420072768653803,0.00409015968084592,0.00404486024564026,0.00399116725325032,0.00389911830905431,0.00357965021370317,0.00346148887245638,0.00345554773933016,0.00344912084863383,0.00337582467541872,0.00326704543115532,0.00325758126074396,0.00308538235217006,0.00292676617156696,0.00288144151192598,0.00286496023388563,0.00285047169085535,0.00283088503227459,0.00268984091378762,0.00268460091726974,0.00267070301398778,0.00260381519567299,0.00254869245176968,0.00254362495713553,0.00244123277309503,0.00234682857645726,0.0022998651447939,0.0022961617534605,0.00229445529900998,0.00228021095514551,0.0022458183039865,0.00214183883584974,0.00212517611762466,0.00212030541603878,0.00210980223421695,0.00204133411034954,0.00199518962598052,0.00197177024419869,0.00195154447124969,0.00192822848952052,0.00188916360844908,0.00187829790834392,0.00176448448868383,0.00175085576844501,0.0017176878229459,0.00170330873856603,0.00167231956257661,0.00166243856777252,0.00165825558443892,0.0016566161209495,0.00161816203495567,0.0015828698096495,0.00155822090181167,0.00153142107400847,0.00153115947948962,0.00151244680971113,0.00149355484656015,0.00147178662270205,0.00146752924563279,0.00145759889299998,0.00144989102017066,0.0014430849283926,0.00143944566601914,0.00142240284053513,0.00141160464897296,0.00141038852541585,0.00140454975565306,0.00139977800928288,0.00138920610897489,0.00138176415410237,0.00136553384446301,0.00135510882954896
満足度,0.0402864514109227,45,0,68,0,7,0,10,0,0,0,0,16,1,0,0,0,0,1,0,0,0,2,0,13,3,3,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,10,0,0,0,0,0,3,1,2,0,2,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0
コストパフォーマンス,0.0394950599738697,36,5,4,5,14,0,24,4,1,1,8,4,0,33,10,0,1,2,0,1,0,4,2,2,9,6,3,2,0,0,0,4,0,1,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,1,0,9,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,0,3,3,0,2,0,0,2,0,0,1,0,0,0,7,0,0
画質,0.0314426891977573,0,2,0,24,0,12,0,13,6,14,19,0,18,1,2,6,11,28,6,9,0,0,13,0,7,0,1,6,5,1,1,0,1,11,3,11,2,0,10,2,5,9,0,6,1,7,7,0,1,2,6,4,0,2,2,4,0,1,1,4,1,0,0,9,7,1,0,4,0,1,1,1,2,0,2,11,3,2,0,5,3,1,4,8,4,0,3,1,1,7,1,11,0,5,1,2,0,0,2,5
バランス,0.0295284585314142,2,20,0,14,2,6,0,5,10,6,8,1,0,0,8,7,5,0,3,4,0,0,9,0,0,0,3,11,4,0,5,0,6,0,0,4,3,0,1,5,2,0,0,0,0,2,3,27,0,0,0,4,2,2,0,2,0,1,0,2,1,0,0,0,1,4,0,0,19,0,0,0,0,3,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,3,0,1,1
使い勝手,0.0198628457766227,0,12,0,17,0,7,0,10,10,4,5,0,4,0,4,15,4,1,12,1,0,0,6,0,2,0,6,1,1,1,5,0,5,3,0,3,5,0,1,0,3,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,2,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,4,0,1,0,5,1,0,0,1,0,0,1
操作性,0.0196631195641304,0,4,1,4,3,6,0,6,8,12,10,0,11,2,3,4,5,11,3,1,0,1,2,0,1,0,2,6,9,0,3,0,0,4,5,9,6,0,8,1,2,3,0,1,1,2,2,0,0,0,1,0,0,1,3,5,2,6,2,2,0,0,0,3,0,0,0,1,0,0,0,0,3,1,1,2,1,0,3,0,3,0,4,1,0,0,3,1,1,3,0,2,1,1,0,0,0,1,4,2
携帯性,0.01924391777349,0,11,0,6,1,3,0,3,2,12,12,0,11,5,3,5,6,12,1,1,0,0,1,0,1,1,3,2,2,0,0,1,0,10,4,0,3,1,1,3,1,1,0,1,0,3,4,0,0,0,1,2,2,0,2,0,1,17,5,1,0,0,0,0,0,1,0,7,0,1,0,1,0,1,0,0,1,1,2,0,5,1,5,0,1,4,1,0,0,2,2,2,0,1,0,2,0,1,3,1
持ち,0.0166233205623321,0,0,0,22,0,30,0,5,0,0,6,0,7,0,0,4,0,0,1,9,0,0,2,0,1,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,5,6,2,2,0,0,1,6,9,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,1,1,0,1,2,0,4,1,0,2,0
質感,0.0148812279909226,5,1,2,4,9,1,2,4,5,5,4,2,2,0,0,2,2,2,1,4,0,6,1,2,4,2,1,3,2,3,1,4,0,5,0,2,1,0,6,0,0,5,2,6,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,3,1,0,0,1,0,2,0,0,2,0,0,1,4,1,0,0,0,0,1,1,1,0,0,3,2,1,0,1,0,1,1,0,1,0,1,1
