"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,が良いです,はありません,は良いと,がいいです,もよく,がいい,の高い,が良いと,は思います,がよく,も良いです,を考えると,がよい,のよい,も良いと,は良好です,はいいと,はいいです,が高い,の取れた,が良いので,も良い,もいいです,は良い,が悪いと,が悪く,は良く,が悪いです,は最高です,もありません,がいいので,がいいと,もいい,のとれた,を考えれば,は感じです,に優れた,はいいですね,があり,のある,も良いので,は抜群です,はありませんが,は高いと,が良くて,が弱いです,も良好です,は悪いです,はありますが,はあります,になります,も満足しています,があります,がよいです,はします,がいいですね,の悪い,が良くない,が感じます,はよいです,は良いのですが,にありません,が悪いので,をする,といい,もなく,も高く,が高く,はあり,には満足しています,は高いです,も悪くなく,は思いますが,は良いですね,は悪くないです,は満足しています,は気に入っています,は満足です,もいいですね,はよいと,がある,は感じます,をします,も含めて,が良くなりました,は悪くないと,にある,を考えて,はしました,が高いです,も思います,に満足しています,で満足しています,もありますが
weight,"",0.0158223732596255,0.0124865712019635,0.0100452178589465,0.00787239811169438,0.00749253959876647,0.00742835984721519,0.00639888188430027,0.00634316276075692,0.00633773012824176,0.005265077048624,0.00515395640100893,0.00492228556407181,0.00432005789960369,0.00408597830151999,0.00402169969683429,0.00391946033548237,0.00385638439185967,0.00364402052196988,0.00362456256927269,0.00339213850699981,0.00325579449853969,0.00300977954287162,0.00285856627396091,0.002843608249694,0.00282206149823757,0.00276658052540846,0.00274067368350974,0.00273189781777837,0.00272840206123607,0.00259307095432888,0.00232022230851292,0.00225352293797695,0.00220594648833512,0.00204437850463198,0.00184894789966361,0.00181648330641269,0.00178880893173977,0.00178451014479101,0.00175776231512064,0.00166884274222048,0.00165295824345709,0.00165026020259746,0.00164399694055995,0.00159839293334685,0.00157649591114095,0.00156748120233141,0.00155392252838786,0.00153928660285401,0.00152764887908651,0.00149778121950327,0.00149285675963129,0.00146919316956067,0.00145257121042886,0.00140778654764089,0.00139390945267423,0.00137893058753836,0.00135635505228538,0.00134552321034017,0.00130077850457855,0.0012862065700632,0.00128600834555343,0.00127627384186028,0.00126776311931385,0.00120958409173056,0.00119457263035893,0.00115606057592529,0.00113601486393289,0.00113565311745419,0.00111326598706547,0.00111106749503537,0.00110472851874776,0.00108955003030365,0.00106775060070365,0.00105389269157934,0.00104280700039406,0.00103508753795372,0.0010279369627035,0.00102522648715856,0.000994906892777663,0.000983589757484144,0.000964268288942969,0.000947268387886447,0.000947144948089709,0.000925750817556497,0.000907040356198767,0.000906193896483261,0.000899074971425129,0.00089189784855376,0.0008764690483353,0.00087198183760862,0.000859007357771051,0.000857942178378761,0.000848592876695709,0.000843813788298098,0.000830015040602562,0.00082611743767338,0.000810185054637331,0.00080789106809175,0.000801298293162055,0.000797019579969138
画質,0.0258247708468268,2,24,12,6,14,13,6,18,19,6,11,9,0,13,28,1,5,2,1,1,6,2,11,11,0,0,5,10,9,7,4,0,7,4,7,6,1,1,4,0,2,2,1,2,1,0,0,1,4,0,2,0,2,3,9,6,5,11,1,0,7,1,2,1,0,2,4,3,2,2,3,5,0,0,8,12,0,3,7,5,0,8,5,7,1,1,0,8,0,1,2,1,3,0,3,0,5,4,8,1
バランス,0.0251642045220976,20,14,6,10,6,5,7,0,8,3,5,4,2,9,0,5,4,8,3,6,11,3,4,0,2,27,2,1,0,2,4,2,3,2,0,0,0,4,2,19,5,0,0,2,0,0,3,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,2,0,1,0,0,0,0
使い勝手,0.0177205967870279,12,17,7,10,4,10,15,4,5,12,4,1,0,6,1,5,1,4,6,5,1,5,3,3,0,0,3,1,1,1,1,1,1,2,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,0,4,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,3,1,1,1,1,1,0,0,0,1,2,2,0,1,0,0,1,1,0,1
操作性,0.015017753597104,4,4,6,8,12,6,4,11,10,3,5,1,0,2,11,3,9,3,2,0,6,6,9,4,3,0,2,8,3,2,0,0,2,2,1,1,2,0,5,0,1,3,2,1,1,0,1,6,1,0,0,0,3,3,3,1,0,2,0,1,0,1,1,1,0,4,4,3,0,0,1,2,0,1,1,1,1,1,3,1,0,1,1,2,0,0,0,2,0,1,0,1,1,2,5,0,3,1,1,2
持ち,0.0137938063829869,0,22,30,0,0,5,4,7,6,1,0,9,0,2,0,1,0,0,6,0,0,0,0,1,0,0,2,0,0,3,5,6,2,9,1,0,6,1,0,0,0,2,0,2,0,0,0,1,1,0,1,0,0,5,1,0,0,0,0,1,2,0,0,5,1,2,1,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
携帯性,0.0133395462630945,11,6,3,2,12,3,5,11,12,1,6,1,0,1,12,0,2,3,3,0,2,3,0,10,1,0,1,1,1,3,2,2,4,1,1,1,5,1,0,0,3,2,5,0,0,0,1,17,7,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,5,1,2,0,1,1,1,0,0,1,0,1,2,1,0,2,0,2,1,2,0,1,0,0,0,2,0,2,4,0,1,0,0,0
ホールド感,0.0108416703911466,3,3,5,5,6,14,2,9,4,1,5,1,0,1,4,1,4,0,0,0,0,9,0,2,1,0,3,1,3,7,0,3,1,0,0,5,1,1,3,0,1,3,0,0,2,0,4,4,2,0,1,0,2,1,0,3,0,2,1,1,3,0,0,2,1,2,3,2,0,0,2,0,0,1,2,1,1,1,2,1,1,0,2,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0
コストパフォーマンス,0.00840677417269304,5,5,0,1,1,4,0,0,8,0,1,1,36,2,2,0,0,10,3,0,2,0,1,1,14,0,0,0,0,0,0,0,0,0,9,0,1,0,1,0,3,0,33,3,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,4,0,0,1,0,0,0,1,3,2,0,0,0,2,0,0,0,1,0,4,0,0,1,0
写り,0.00815608299332161,7,4,2,4,4,4,1,6,5,1,1,5,0,2,4,0,0,0,0,1,2,1,2,7,0,0,1,2,0,3,1,0,2,0,4,8,2,1,3,0,2,1,0,4,0,0,0,0,0,0,2,0,0,0,1,1,3,1,0,0,2,0,0,0,0,0,1,2,0,18,0,0,1,0,2,3,0,1,0,0,1,3,0,2,0,2,0,1,17,0,0,0,2,0,0,0,0,2,0,0
