"",weight,の高い,は高いです,が高い,は高いと,が高いです,に優れた,の良い,が良い,を考えると,は高い,が高いと,が高く,は良いと,は良いです,は最高です,も高く,は5です,はしました,があります,も良く,が高いので,はありません,は思います,が良く,は高く,は満点です,が悪い,を考えれば,も高い,のある,が良いです,もよく,はあります,があり,は最高だと,はしましたが,がいい,も良いと,がよい,がいいです,が良いと,がある,はあると,をしました,が低い,は高いですね,はいいです,は最高ですね,があると,は5と,も良いです,の強い,はいいと,に優れていると,は抜群,のよい,に優れている,は大満足です,も良い,から考えると,はいいですね,はします,は感じです,もありません,がよく,は抜群だと,で言えば,は抜群です,が多い,はありますが,が高かった,が良いので,を持った,は素晴らしいです,も高いので,は良好です,といい,はものです,を含め,をしたのは,も高いです,がいいので,もいいですね,は良く,は低いです,もいいです,もいい,が素晴らしい,も含めて,は良い,の取れた,が得られる,は高いですが,は5ですが,はよいと,はありませんが,もあり,が悪いと,を考えたら,が悪く
weight,"",0.00746409914239261,0.00346851894165926,0.00312198595363317,0.00227308042882998,0.00174414121517909,0.00139768690977017,0.0013830186618571,0.00109163204448708,0.000950009798584893,0.000945470904095995,0.000931037137330111,0.000898378084756911,0.00080068558301949,0.000750021985516785,0.000683542661150674,0.000669728636105525,0.000660729866723789,0.000660076741159083,0.000638058783730608,0.000602602983838898,0.000598783574763971,0.000580774631078945,0.000574048453890979,0.000527256484384686,0.000497606076651161,0.000492020162796487,0.000471916439109839,0.00047179617709728,0.000427778118114305,0.000387594253681276,0.000381663119408811,0.000373841637136773,0.000364211158299889,0.000361380613313452,0.000354003387711666,0.000351924162637044,0.000344488681865794,0.000332777211486294,0.000332676234842801,0.000328502237296071,0.00032021116465257,0.000313703942282624,0.000300765192865012,0.000298792682134093,0.000289827713222473,0.000282904485771187,0.00027343953919685,0.000261596298651166,0.000258069474618274,0.000249281381799794,0.000245369541061033,0.000241502862259922,0.000240889134142739,0.000240578689071983,0.000239279116327728,0.000233003829173508,0.000231730535298246,0.000223029615230831,0.000222892605816353,0.000218970862291741,0.000218340517346043,0.000215854942853629,0.000213527396512167,0.000212265150579523,0.000208557823905699,0.000208287568207258,0.000206952175812071,0.000205778986480651,0.00020391269996671,0.000203770468974084,0.00020168738334535,0.000198472388011902,0.000194565968222533,0.00019123435782417,0.000190839098437484,0.000186901030538574,0.000186320742329113,0.000181096279017537,0.000179734040287408,0.000178411699251969,0.000175934410362979,0.000171416194505981,0.000170466847787293,0.000170361033536086,0.000169983285688208,0.000169966769816498,0.000169678629872633,0.000166285839784717,0.000162816018353231,0.000159313021838614,0.000156833696360117,0.000155158999266135,0.000155106594129941,0.00015428913079357,0.000154170203996995,0.000153288881611159,0.000150281911415703,0.000148632586349104,0.000145909701926272,0.000142446778534178
満足度,0.00956652405535061,45,68,7,10,16,0,0,0,0,13,3,2,0,0,3,0,14,11,0,0,2,1,1,0,6,10,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,2,4,1,5,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0
コストパフォーマンス,0.00772065712917978,36,4,14,24,4,33,5,5,10,2,6,4,8,4,9,4,0,0,0,1,2,0,2,1,0,0,0,3,3,0,0,1,0,0,9,0,1,2,3,0,2,0,1,0,0,2,1,3,0,0,0,0,1,7,4,0,3,0,0,3,3,0,0,0,0,5,1,2,0,0,0,0,3,3,1,0,1,0,3,0,1,1,3,0,0,0,1,2,2,0,0,0,1,0,2,0,0,0,2,0
完成度,0.00308911632750773,37,3,11,7,1,0,0,0,0,1,3,4,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
画質,0.00232712381927722,0,0,0,0,0,1,2,24,2,0,0,0,19,13,7,0,1,3,1,14,0,18,28,6,2,0,12,2,0,0,6,11,6,1,1,1,9,6,1,6,13,0,0,0,1,0,11,1,1,1,5,0,11,0,0,1,0,4,10,0,2,7,2,6,1,0,1,1,0,9,0,5,0,4,0,2,3,11,0,1,0,1,1,7,0,9,4,1,1,7,0,6,0,1,1,4,1,4,0,0
評価,0.00199738166730078,12,2,4,0,2,0,1,0,0,0,3,4,1,0,1,0,6,4,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,14,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
質感,0.00195564138542895,5,2,9,2,2,0,1,4,0,2,2,6,4,4,4,4,0,0,3,5,0,2,2,5,0,0,1,0,0,2,2,2,6,4,0,0,4,3,1,1,1,1,0,0,1,0,5,0,2,0,2,0,2,0,0,0,0,0,6,0,1,1,4,0,1,0,0,0,0,3,0,0,1,1,0,1,4,1,0,0,2,0,0,0,0,5,0,1,3,0,0,0,0,0,0,1,3,0,0,0
携帯性,0.00190097811153673,0,0,1,0,0,5,11,6,3,0,1,0,12,3,1,1,0,4,0,12,1,11,12,2,0,1,3,3,0,0,5,6,1,0,0,1,1,2,3,1,1,0,0,2,0,0,10,0,1,0,2,0,0,1,6,0,4,1,1,1,0,0,2,1,0,0,1,17,0,0,0,1,0,1,0,3,1,2,0,4,0,5,1,4,0,1,0,0,0,3,0,0,0,1,2,7,0,2,1,2
バランス,0.00181080868422444,2,0,2,0,1,0,20,14,8,0,0,0,8,5,0,0,0,0,0,6,0,0,0,10,0,0,6,5,0,0,7,5,0,0,1,0,4,11,3,3,9,0,0,0,0,0,0,0,0,0,4,0,4,0,0,6,0,0,1,0,2,1,0,0,5,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2,0,1,2,27,0,0,0,1,0,0,4,1,2
操作性,0.00155271123428436,0,1,3,0,0,2,4,4,3,0,0,1,10,6,1,0,0,5,0,12,0,11,11,8,0,2,6,1,0,0,4,5,1,1,0,0,1,6,2,3,2,0,0,3,0,0,4,0,0,0,9,0,9,1,0,0,0,0,8,0,1,0,3,1,3,0,0,6,0,3,0,2,0,0,0,6,1,2,0,5,0,2,0,2,0,3,5,1,1,2,0,0,0,0,0,1,0,0,0,0
