"",weight,バランス,画質,使い勝手,持ち,操作性,携帯性,ホールド感,写り,質感,デザイン,気持ち,レスポンス,コストパフォーマンス,評判,発色,描写,レンズ,性能,色乗り,もち,相性,感触,精度,ホールド性,色のり,不満,感じ,視認性,天気,価格,色,感度,質,重さ,ボケ味,操作感,大きさ,重量バランス,バッテリー,位置,カメラ,液晶,反応,解像度,出来,描写力,画像,ヌケ,機能,値段
weight,"",0.0266178262441577,0.0233245836346838,0.018088232947651,0.0152575641274813,0.0146722351742214,0.0125752513230447,0.0106057743458529,0.00728953132232111,0.00653299245402398,0.00614024930018546,0.00580177166055327,0.00504930274787256,0.0049071268012644,0.00382883120776807,0.00378180892052077,0.00368172760335444,0.00330795011171267,0.0032317911191766,0.00313449998766309,0.00276891560363684,0.0026432492205474,0.00257433866990127,0.00238532802590644,0.0023687104533427,0.0021930249625177,0.00206999406738787,0.00196616657480242,0.00192344715347879,0.00191914426479425,0.00183648104940686,0.00174151749471962,0.00171715816657,0.0016582079832582,0.00157350348973548,0.00155663169966388,0.00154994104856378,0.00151885636735813,0.00151034990049727,0.00148287252005889,0.00147792842680948,0.00147397427597169,0.00145901432585089,0.00143453222385722,0.00139430682693526,0.00138266102103269,0.00136381981927609,0.00133448876039561,0.00132577942904619,0.00131730411550314,0.00131074052750905
の良い,0.00936293599548242,20,2,12,0,4,11,3,7,1,1,13,2,5,14,1,2,5,5,2,0,1,0,2,0,1,0,0,2,15,0,0,1,4,0,0,0,0,0,0,0,3,1,2,0,5,0,0,5,0,0
が良い,0.00672477921104889,14,24,17,24,4,6,3,4,4,7,7,8,5,1,0,0,1,2,1,1,2,2,2,1,0,0,4,2,2,0,1,0,0,3,0,1,0,0,1,0,0,1,0,1,1,0,1,0,3,0
が悪い,0.00445482534771315,6,12,7,36,6,3,5,2,1,0,0,6,0,0,2,0,1,0,0,7,0,0,2,2,0,0,0,1,0,0,2,2,2,0,0,0,0,1,0,5,0,0,2,1,0,0,1,0,1,0
が良く,0.00436953263649481,10,6,10,0,8,2,5,4,5,3,0,6,1,0,3,1,1,0,2,0,1,1,2,4,1,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0
も良く,0.0039430753259295,6,14,4,7,12,12,6,6,5,7,0,6,1,0,3,6,1,3,5,0,3,0,1,0,0,0,0,2,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
は良いです,0.00375597994384059,5,13,10,10,6,3,14,4,4,2,0,1,4,0,2,5,10,0,1,1,0,6,1,2,1,0,3,0,0,0,0,0,0,2,0,1,2,0,5,0,2,7,0,1,1,1,2,0,0,0
が良いです,0.00346750808212695,7,6,15,7,4,5,2,1,2,2,2,0,0,0,0,0,0,0,1,1,2,2,0,2,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1
は良いと,0.00334922574949657,8,19,5,8,10,12,4,5,4,11,0,1,8,0,0,0,2,3,0,1,1,1,2,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,2,2,0,0,1,0,0,1,0
がいいです,0.00292437178793581,3,6,12,6,3,1,1,1,1,0,9,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
もよく,0.00273887902137627,5,11,4,6,5,6,5,1,2,1,0,0,1,0,6,0,0,0,3,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,1,1,0,0
