"",weight,の高い,は高いです,が高い,の良い,は高いと,が良い,が悪い,が高いです,に優れた,は良いです,は良いと,が良く,も良く,を考えると,はありません,は高い,が高く,が良いです,が高いと,は思います,もよく,は最高です,がいいです,がいい,も高く,があります,が良いと,はしました,も良いと,が高いので,がよい,は5です,のよい,を考えれば,がよく,が弱いです,も良いです,は高く,はいいです,はいいと,のある,があり,は満点です,は良好です,はあります,も高い,が良いので,も良い,は最高だと,の取れた,は良い,もいいです,は良く,もありません,が悪いと,がある,はあると,はしましたが,が悪く,は感じです,はいいですね,は抜群です,もいい,があると,がいいので,はありますが,はします,は最高ですね,をしました,が悪いです,のとれた,は高いですね,はありませんが,がいいと,に優れていると,に優れている,が低い,の悪い,は素晴らしいです,もいいですね,といい,も良いので,は5と,も含めて,から考えると,はよいと,も良好です,は抜群だと,が良くて,になります,はものです,は抜群,も満足しています,はあり,を持った,は思いますが,は良いのですが,は良いですね,の強い,は大満足です
weight,"",0.0200596410537909,0.00900012169305719,0.00866378836625203,0.00815774612159532,0.00634312226007901,0.00597129001207718,0.00489088530615764,0.0045403503818603,0.00412737449327443,0.00391037314627625,0.003763216707933,0.00353823596201543,0.00353680415879946,0.00344252598487122,0.00300182350319986,0.00265916909177676,0.00265724997033563,0.00258004938843235,0.00255838564545558,0.00245601554231713,0.00238550597088512,0.00225864306873049,0.0021894581286705,0.0020937467646519,0.00205051180723124,0.00203506993503097,0.00193979920961128,0.00183552621862112,0.00177602497267909,0.00177141158633456,0.00173661155508507,0.00156446952051943,0.00156376435023879,0.00156255650837981,0.00154800447196725,0.00154569032235752,0.00153008795506302,0.00142299326646956,0.00140098622239994,0.0013595110490994,0.00135448814256611,0.00133884286123013,0.00129866564236572,0.00129855685525536,0.00128616700165981,0.0012377417916197,0.00121572652083733,0.00115997323146396,0.00111858495932641,0.00111269647371049,0.00108385184097751,0.00107690373642181,0.0010314583725968,0.00102670493493612,0.00101337848290324,0.00101075538880543,0.000993873681116481,0.000993294579649334,0.000949909332789066,0.00094524887454159,0.000939216558146838,0.000932628193633295,0.000930368148092671,0.00090000565732801,0.000896029643480612,0.000880753424088822,0.000870917215483034,0.000865328526851596,0.000830465457509745,0.000801564482801542,0.000783008629648122,0.000775161656537063,0.000764078448576855,0.000760281597758701,0.000736413195017082,0.000735655220093819,0.000714251085275102,0.000710964795644678,0.000691096378824213,0.000687078471392613,0.00068228239586215,0.0006654396670115,0.00066312592255087,0.000657588898736551,0.000646342844160679,0.000638903192208116,0.000637524540853367,0.000637091890664272,0.000636418274427993,0.000635377119140199,0.000634759232839727,0.000633699839240482,0.000620887072479787,0.000620429871691504,0.000607825499063866,0.000601629834285184,0.000594727018491173,0.000594215397583312,0.000594105915577015,0.000588702657322445
満足度,0.0245879876290582,45,68,7,0,10,0,0,16,0,0,0,0,0,0,1,13,2,0,3,1,0,3,0,0,0,0,0,11,0,2,0,14,0,0,0,0,0,6,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,1,2,0,4,0,0,5,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3
コストパフォーマンス,0.0225003969920984,36,4,14,5,24,5,0,4,33,4,8,1,1,10,0,2,4,0,6,2,1,9,0,1,4,0,2,0,2,2,3,0,0,3,0,0,0,0,1,1,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,1,0,0,3,0,0,0,2,0,0,7,3,0,0,3,3,1,0,0,2,3,2,0,5,0,0,0,4,0,0,3,0,0,1,0,0
画質,0.0123911245003406,0,0,0,2,0,24,12,0,1,13,19,6,14,2,18,0,0,6,0,28,11,7,6,9,0,1,13,3,6,0,1,1,1,2,1,0,5,2,11,11,0,1,0,2,6,0,5,10,1,0,7,9,7,6,4,0,0,1,0,2,2,1,4,1,1,9,7,1,0,4,0,0,4,1,0,0,1,2,4,1,3,0,1,1,0,1,2,0,2,5,11,0,11,8,0,7,4,5,0,4
バランス,0.011890499515513,2,0,2,20,0,14,6,1,0,5,8,10,6,8,0,0,0,7,0,0,5,0,3,4,0,0,9,0,11,0,3,0,6,5,5,0,4,0,0,4,0,0,0,3,0,0,2,1,1,27,2,0,3,0,4,0,0,0,2,0,2,1,2,0,0,0,1,0,0,2,19,0,0,4,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0
携帯性,0.00809273130190049,0,0,1,11,0,6,3,0,5,3,12,2,12,3,11,0,0,5,1,12,6,1,1,1,1,0,1,4,2,1,3,0,0,3,0,0,2,0,10,0,0,0,1,3,1,0,1,1,0,0,3,1,4,1,2,0,0,1,2,2,0,17,0,1,5,0,0,0,2,1,0,0,7,1,1,4,0,0,1,1,1,1,0,0,1,2,0,0,1,0,2,6,0,0,0,2,5,1,0,1
完成度,0.00792791315547912,37,3,11,0,7,0,0,1,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作性,0.00764743003854882,0,1,3,4,0,4,6,0,2,6,10,8,12,3,11,0,1,4,0,11,5,1,3,1,0,0,2,5,6,0,2,0,0,1,3,0,9,0,4,9,0,1,2,6,1,0,2,8,0,0,2,3,2,1,0,0,0,0,0,3,1,6,5,0,2,3,0,0,3,2,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,3,0,0,0,2,0,2,1,0,3,4,1,0,0
使い勝手,0.00730734229312006,0,0,0,12,0,17,7,0,0,10,5,10,4,4,4,0,0,15,0,1,4,2,12,1,0,1,6,0,1,0,6,0,5,0,5,0,1,0,3,3,0,0,0,5,0,0,3,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
質感,0.00689068868622119,5,2,9,1,2,4,1,2,0,4,4,5,5,0,2,2,6,2,2,2,2,4,1,4,4,3,1,0,3,0,1,0,0,0,1,0,2,0,5,2,2,4,0,1,6,0,0,6,0,0,0,5,0,0,0,1,0,0,0,4,1,0,0,2,0,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,4,0,0,3,0,0,2,0,1,0,1,0,1,1,1,1,1,1,0,0
