"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,気持ち,デザイン,質感,評判,レスポンス,コストパフォーマンス,発色,レンズ,性能,描写,色乗り,天気,相性,色のり,ホールド性,精度,感触,出来,価格,質,もち,視認性,ヌケ,切れ,感じ,値段,色,反応,重さ,重量バランス,感度,大きさ
weight,"",0.00112907499421479,0.000766920027365476,0.000636676943011549,0.000468039300550873,0.000424827974120149,0.000390540342176226,0.000307738312839055,0.000246407984783186,0.000221843826361689,0.000212450219292048,0.000207987084357466,0.000176207418405507,0.000166927567661949,0.000165365020736253,0.00012440936572349,0.000122905030551838,0.000118361609197601,0.000115508727261979,0.000113920822016451,9.89240980505594e-05,9.22726664267978e-05,8.21495107475537e-05,8.12014435868853e-05,7.94291068503381e-05,7.5844877844608e-05,7.48371557651321e-05,7.37716065841442e-05,7.12850772791686e-05,7.05472705755789e-05,6.64975217095965e-05,5.83173283981702e-05,5.60439101308338e-05,5.44122345755646e-05,5.43723831978084e-05,5.43235746519404e-05,5.30624663320451e-05,5.2058484117468e-05,5.18391889494261e-05,5.12106902809899e-05,4.8653484707409e-05
の良い,0.00040245669590686,20,2,12,4,0,11,3,7,13,1,1,14,2,5,1,5,5,2,2,15,1,1,0,2,0,5,0,4,0,2,5,4,0,0,0,2,0,0,1,0
が良い,0.000243443127248279,14,24,17,4,24,6,3,4,7,7,4,1,8,5,0,1,2,0,1,2,2,0,1,2,2,1,0,0,1,2,0,1,4,0,1,0,3,0,0,0
が良く,0.000166286867431295,10,6,10,8,0,2,5,4,0,3,5,0,6,1,3,1,0,1,2,0,1,1,4,2,1,0,0,1,0,0,2,3,0,0,0,1,0,3,2,0
が悪い,0.000142934704429513,6,12,7,6,36,3,5,2,0,0,1,0,6,0,2,1,0,0,0,0,0,0,2,2,0,0,0,2,7,1,0,0,0,0,2,2,0,1,2,0
も良く,0.0001388476894094,6,14,4,12,7,12,6,6,0,7,5,0,6,1,3,1,3,6,5,0,3,0,0,1,0,0,0,1,0,2,1,1,0,0,1,0,2,0,0,1
が良いです,0.000124275307111871,7,6,15,4,7,5,2,1,2,2,2,0,0,0,0,0,0,0,1,0,2,1,2,0,2,1,0,1,1,0,0,0,1,1,0,0,0,0,0,2
は良いです,0.000124193459919311,5,13,10,6,10,3,14,4,0,2,4,0,1,4,2,10,0,5,1,0,0,1,2,1,6,1,0,0,1,0,0,0,3,0,0,0,2,0,0,2
は良いと,0.000116209250028675,8,19,5,10,8,12,4,5,0,11,4,0,1,8,0,2,3,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,1
がいいです,0.000105123265895551,3,6,12,3,6,1,1,1,9,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,1,0,1
もよく,9.56287130195092e-05,5,11,4,5,6,6,5,1,0,1,2,0,0,1,6,0,0,0,3,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
がいい,9.04109879747249e-05,4,9,1,1,10,1,1,5,9,1,4,3,1,1,3,1,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,2,0,0,1
が良いと,8.77434598186006e-05,9,13,6,2,2,1,1,2,0,1,1,0,0,2,0,2,1,4,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0
のよい,8.22262418531928e-05,6,1,5,0,0,0,0,1,3,0,0,3,0,0,1,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
を考えると,7.52154933309554e-05,8,2,4,3,0,3,0,0,0,0,0,0,0,10,0,0,12,1,0,0,0,0,0,0,1,0,45,0,1,0,0,0,0,27,0,0,1,1,0,8
がよく,7.51413521657684e-05,5,1,5,3,1,0,1,0,1,1,1,1,4,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0
も良いと,7.33550986695595e-05,11,6,1,6,1,2,0,2,0,4,3,0,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
はありません,7.19963873717731e-05,0,18,4,11,9,11,9,6,1,0,2,0,1,0,1,8,1,4,0,0,1,0,1,1,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,2
の取れた,6.70000546017568e-05,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,6.47650280137241e-05,3,1,6,2,6,3,0,0,2,1,1,0,0,3,0,0,4,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
