"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,気持ち,デザイン,質感,評判,レスポンス,コストパフォーマンス,発色,レンズ,性能,描写,色乗り,天気,相性,ホールド性,色のり,精度,感触,価格,出来,もち,質,視認性,ヌケ,値段,感じ,切れ,色,反応,重さ,重量バランス,感度,大きさ
weight,"",0.00242374432939176,0.00166217287604392,0.00136925473429919,0.00101422071300566,0.000922718358795588,0.000841737605514763,0.000666907827059386,0.000529401003491024,0.000470441782835575,0.000460812236591764,0.000451385312375231,0.000368396803260676,0.000360377478276248,0.000356270198776177,0.000268419851461014,0.000262666663050353,0.000253733105231967,0.000249593614237138,0.000244390396860449,0.000205456129899955,0.000199641366339991,0.000176004408706371,0.00017567465563454,0.0001711221128834,0.000165058611508998,0.000160965424193099,0.000155584140557127,0.000153980521009961,0.000150499425729429,0.000142716187869401,0.000122314923164011,0.000118684459923334,0.000118364757613371,0.000118267226206538,0.00011776276986661,0.000113776910241912,0.000113199444775652,0.000112268476298198,0.000110052976864016,0.00010594736532208
の良い,0.000852223654599366,20,2,12,4,0,11,3,7,13,1,1,14,2,5,1,5,5,2,2,15,1,0,1,2,0,0,5,0,4,2,5,0,0,4,0,2,0,0,1,0
が良い,0.000522614049046773,14,24,17,4,24,6,3,4,7,7,4,1,8,5,0,1,2,0,1,2,2,1,0,2,2,0,1,1,0,2,0,0,4,1,1,0,3,0,0,0
が良く,0.000357191485276622,10,6,10,8,0,2,5,4,0,3,5,0,6,1,3,1,0,1,2,0,1,4,1,2,1,0,0,0,1,0,2,0,0,3,0,1,0,3,2,0
が悪い,0.000308596342110939,6,12,7,6,36,3,5,2,0,0,1,0,6,0,2,1,0,0,0,0,0,2,0,2,0,0,0,7,2,1,0,0,0,0,2,2,0,1,2,0
も良く,0.000298755980927014,6,14,4,12,7,12,6,6,0,7,5,0,6,1,3,1,3,6,5,0,3,0,0,1,0,0,0,0,1,2,1,0,0,1,1,0,2,0,0,1
は良いです,0.000267826634137492,5,13,10,6,10,3,14,4,0,2,4,0,1,4,2,10,0,5,1,0,0,2,1,1,6,0,1,1,0,0,0,0,3,0,0,0,2,0,0,2
が良いです,0.000267219642611651,7,6,15,4,7,5,2,1,2,2,2,0,0,0,0,0,0,0,1,0,2,2,1,0,2,0,1,1,1,0,0,1,1,0,0,0,0,0,0,2
は良いと,0.000250492466544255,8,19,5,10,8,12,4,5,0,11,4,0,1,8,0,2,3,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,1
がいいです,0.000225450515828222,3,6,12,3,6,1,1,1,9,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,1,1,1,0,1
もよく,0.000205531034942821,5,11,4,5,6,6,5,1,0,1,2,0,0,1,6,0,0,0,3,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
がいい,0.000193611757001865,4,9,1,1,10,1,1,5,9,1,4,3,1,1,3,1,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,0,2,0,0,1
が良いと,0.00018878906726321,9,13,6,2,2,1,1,2,0,1,1,0,0,2,0,2,1,4,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0
のよい,0.000175176241104215,6,1,5,0,0,0,0,1,3,0,0,3,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
を考えると,0.000162094408689335,8,2,4,3,0,3,0,0,0,0,0,0,0,10,0,0,12,1,0,0,0,0,0,0,1,45,0,1,0,0,0,27,0,0,0,0,1,1,0,8
がよく,0.00016148264765099,5,1,5,3,1,0,1,0,1,1,1,1,4,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0
も良いと,0.000157774416419633,11,6,1,6,1,2,0,2,0,4,3,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
はありません,0.000155538624163083,0,18,4,11,9,11,9,6,1,0,2,0,1,0,1,8,1,4,0,0,1,1,0,1,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,2
の取れた,0.000143826586579291,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,0.000138879505493189,3,1,6,2,6,3,0,0,2,1,1,0,0,3,0,0,4,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
も良いです,0.000134207500211445,4,5,1,9,5,2,4,0,0,2,2,0,0,0,4,0,0,3,2,0,3,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
は良好です,0.00012593426685533,3,2,5,6,0,3,9,1,0,1,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
は思います,0.000121795253726708,0,28,1,11,0,12,4,4,0,11,2,0,0,2,2,6,4,5,1,0,0,1,0,0,0,3,1,0,0,1,0,2,0,0,1,0,1,0,1,0
が良いので,0.000115710429108609,2,5,3,2,2,1,3,1,0,2,0,6,1,0,1,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
はいいと,0.000115633408038369,4,11,3,9,0,0,0,2,0,6,2,0,0,1,0,3,3,0,0,0,2,0,0,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1
のとれた,0.000101211301666909,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いと,9.6159990957888e-05,4,4,1,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
は良い,9.61483733322368e-05,2,7,1,2,4,3,7,3,0,2,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
はいいです,9.31384128532663e-05,0,11,3,4,1,10,2,7,0,3,5,0,0,1,1,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2
の高い,9.29643160634341e-05,2,0,0,0,0,0,0,0,0,0,5,3,0,36,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0
が悪く,9.1310911753209e-05,2,0,1,0,6,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,0
は良く,8.97316634771472e-05,3,7,1,2,2,4,1,2,0,0,0,1,1,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
がいいと,8.18882313271782e-05,4,1,3,0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,8.1873498608945e-05,2,0,0,3,0,1,1,0,0,0,9,0,0,14,0,0,2,0,0,0,0,1,0,4,0,9,0,0,1,0,0,9,0,0,0,0,0,0,0,0
もいいです,8.15485960689811e-05,0,9,1,3,6,1,3,0,0,3,5,0,1,0,1,0,0,1,0,0,2,0,0,1,3,0,0,1,0,0,0,1,2,0,0,0,2,1,0,1
も良い,7.89837723600678e-05,1,10,1,8,4,1,1,2,0,2,6,1,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0
