"",weight,の良い,が良い,が悪い,の高い,が良く,も良く,は良いです,は良いと,が良いです,はありません,がいいです,もよく,がいい,が高い,を考えると,が良いと,がよく,は思います,も良いです,のよい,がよい,も良いと,は高いです,の取れた,は良好です,が良いので,はいいと,はいいです,も良い,は高いと,は良い,に優れた,もいいです,は良く,が悪いと,が悪く,は最高です,を考えれば,のとれた,もありません,がいいと,もいい,が悪いです,が高いです,があり,のある,がいいので,があります,が高く,は感じです,はあります,は抜群です,も良いので,はいいですね,が弱いです,はありますが,が良くて,も高く,の悪い,も良好です,はありませんが,になります,はします,も満足しています,は悪いです,がいいですね,がよいです,は高い,が感じます,はしました,が高いと,をする,といい,もなく,はよいです,は良いのですが,にありません,が良くない,はあり,も悪くなく,が高いので,がある,が悪いので,は思いますが,は良いですね,には満足しています,も含めて,はよいと,が良くなりました,をします,もいいですね,は気に入っています,を考えて,は満足しています,もありますが,は感じます,は悪くないと,で満足しています,にある,も思います
weight,"",0.00578579849907496,0.00409013518931031,0.00302001157207955,0.00298821399858786,0.00268722818032566,0.0024611149404967,0.00240867545606136,0.00213035838490762,0.00210922535217079,0.0020946767569908,0.00173174632904297,0.00172741536145394,0.00157369797196474,0.00154991367388614,0.00143875240015857,0.00139001613639074,0.00135629612930506,0.00134865721211379,0.0012590495612988,0.00120656071410901,0.00119019219496503,0.00116839522628485,0.0010775521016766,0.00104253545004151,0.000995897548963662,0.000949440269523292,0.000948844358948513,0.000926870508760801,0.000883783797355384,0.000883133797197492,0.000858712591498324,0.000804031583572459,0.000802121150795842,0.000730944908936064,0.000725987756272801,0.000719614177672647,0.000711826788158905,0.000671080940200089,0.000627370919821793,0.000608003695068103,0.000607629221703125,0.000605580541905649,0.000598195707034102,0.000583669958434318,0.000572329104185734,0.000565657508917889,0.000554554439106138,0.000542249115242494,0.000540299320126077,0.000533333910081264,0.000518561485076864,0.000518343967776896,0.000517048393314397,0.000514948460841289,0.000484958291636564,0.000480854154487232,0.000477031840408229,0.000473600861996915,0.000473263931478104,0.0004680982149451,0.000461363366599067,0.000458773116641012,0.000443268411549545,0.000441460575886275,0.000430271797831871,0.000426464396732047,0.000421545060211624,0.000415243882402297,0.000397388296409711,0.000387090302126179,0.000380135296977235,0.000379729290166015,0.000375683231591793,0.000365688970436143,0.000364868005646875,0.000362520170468302,0.000361984936287834,0.000361200493124724,0.000352022533314421,0.000346349952310619,0.000345899315517827,0.000338229336260949,0.000326731392384907,0.000324873469880265,0.00032295133156832,0.000321708413731652,0.000321526256171648,0.000314495477368255,0.000311723126981556,0.000310231189080194,0.000310186378807527,0.000309597003708869,0.000303880511421628,0.000302666820415544,0.000293490269132993,0.000289514183948039,0.000280752211482492,0.000278637352672819,0.000273931456446807,0.000272181938151796
バランス,0.00886295372868072,20,14,6,2,10,6,5,8,7,0,3,5,4,2,8,9,5,0,4,6,3,11,0,27,3,2,4,0,1,0,2,0,0,3,4,2,0,5,19,0,4,2,2,1,0,0,0,0,0,0,0,1,3,2,0,0,1,0,0,0,0,1,1,1,1,1,0,0,3,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,2,0,0,0,1,0,0,0
画質,0.00841158239114656,2,24,12,0,6,14,13,19,6,18,6,11,9,0,2,13,1,28,5,1,1,6,0,0,2,5,11,11,10,0,7,1,9,7,4,0,7,2,0,6,1,4,4,0,1,0,1,1,0,2,6,1,0,2,0,9,2,0,2,2,4,5,7,11,3,1,0,0,0,3,0,2,3,5,2,4,3,1,8,3,0,0,2,7,5,12,1,1,2,0,1,5,0,8,1,8,1,8,3,5
使い勝手,0.00580030047636875,12,17,7,0,10,4,10,5,15,4,12,4,1,0,4,6,5,1,1,5,6,1,0,0,5,3,3,3,1,0,1,0,1,1,1,1,2,0,0,1,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,5,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,2,0,1,1,1,1,1,0,2,0,0,1
操作性,0.00500442505789623,4,4,6,0,8,12,6,10,4,11,3,5,1,3,3,2,3,11,9,0,2,6,1,0,6,2,9,4,8,0,2,2,3,2,0,0,1,1,0,1,0,5,2,0,1,0,2,0,1,3,1,6,1,1,0,3,0,0,1,3,1,0,0,2,3,1,1,0,0,5,0,0,1,2,4,4,3,1,1,1,0,0,0,3,1,1,1,0,0,0,0,1,2,1,2,2,1,1,1,3
携帯性,0.00448944339380658,11,6,3,0,2,12,3,12,5,11,1,6,1,1,3,1,0,12,2,0,3,2,0,0,3,1,0,10,1,0,3,5,1,4,2,2,1,3,0,1,1,0,1,0,0,0,5,0,0,2,1,17,1,0,0,0,1,1,0,0,7,0,0,0,5,0,0,0,0,4,1,0,1,1,3,5,1,0,0,1,1,0,2,2,1,1,0,2,0,0,1,0,2,2,0,1,2,0,0,1
持ち,0.00433966704328494,0,22,30,0,0,0,5,6,4,7,1,0,9,0,0,2,1,0,0,0,6,0,0,0,0,2,0,1,0,0,3,0,0,2,5,6,1,0,0,0,1,0,9,0,0,0,6,0,0,2,0,1,0,2,0,1,1,0,0,0,1,0,2,0,5,0,1,0,1,0,0,0,0,0,2,1,0,5,0,0,0,1,4,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
コストパフォーマンス,0.00400120510716878,5,5,0,36,1,1,4,8,0,0,0,1,1,14,10,2,0,2,0,0,3,2,4,0,0,0,1,1,0,24,0,33,0,0,0,0,9,3,0,0,0,1,0,4,0,0,1,0,4,0,0,2,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,3,0,1,0,0,0,0,1,0,0
ホールド感,0.00354687945901795,3,3,5,0,5,6,14,4,2,9,1,5,1,1,0,1,1,4,4,0,0,0,1,0,9,3,0,2,1,0,7,0,3,1,0,3,0,1,0,5,1,3,0,0,2,0,1,1,1,3,3,4,4,0,0,0,1,0,0,2,2,0,3,2,1,0,1,0,1,2,0,0,2,0,2,3,2,2,2,1,0,0,0,2,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0
質感,0.00294007197476205,1,4,1,5,5,5,4,4,2,2,1,2,4,9,0,1,1,2,2,0,1,3,2,0,1,0,2,5,6,2,0,0,5,0,0,0,4,0,0,0,0,0,0,2,4,2,0,3,6,4,6,0,0,1,0,3,1,4,0,2,1,0,1,1,0,2,0,2,1,0,2,0,4,1,1,1,0,0,1,1,0,1,0,1,1,2,3,0,1,0,0,1,0,0,1,2,1,0,1,0
