"",weight,の高い,は高いです,が高い,は高いと,の良い,が高いです,に優れた,が良い,を考えると,は良いと,は高い,が高いと,は良いです,が高く,も良く,が良く,は最高です,はありません,も高く,が悪い,があります,は思います,はしました,は5です,が高いので,が良いです,もよく,を考えれば,は高く,は満点です,がいい,がいいです,が良いと,も高い,も良いと,のある,がよい,があり,は最高だと,はあります,はしましたが,はいいです,も良いです,のよい,がある,はあると,がよく,はいいと,をしました,が低い,は高いですね,は最高ですね,も良い,があると,は良好です,が良いので,はいいですね,に優れていると,もありません,は5と,は感じです,の強い,に優れている,は抜群です,はします,の取れた,は良い,もいいです,は良く,はありますが,から考えると,は大満足です,は抜群だと,が悪いと,がいいので,もいい,は素晴らしいです,で言えば,といい,を持った,は抜群,が悪く,が多い,が高かった,もいいですね,はものです,を含め,も高いので,をしたのは,はありませんが,も含めて,も高いです,はよいと,が素晴らしい,のとれた,は低いです,が悪いです,は思いますが,の悪い,が得られる
weight,"",0.0119226066303913,0.00531188817254126,0.0050695261324867,0.00371849666970975,0.00300565087254897,0.00268368399210392,0.00228057470821885,0.00223996717512963,0.00167360207448453,0.0015654316936384,0.00152888601428888,0.00152837443916463,0.00148485678160428,0.0014804383761644,0.00126994801807999,0.00124388227530221,0.00117156434445396,0.0011332247821575,0.00111785762110399,0.00111581232291054,0.00107152275121612,0.00105398749525211,0.00105095578636456,0.00104155936327005,0.000985828094495442,0.000850877869553861,0.000840614522792375,0.000815033705549687,0.000808039011537475,0.000786427078212501,0.000738702627727457,0.000737949140724955,0.000712488634116025,0.000699770543413593,0.000686709325906939,0.000683199923819527,0.000669397915080196,0.000639160263674455,0.000606218399510381,0.000600941982785637,0.000569951628404438,0.000539084731448869,0.00053205208824341,0.000524204652057045,0.000519002180152576,0.000511628465354638,0.000507540215046662,0.000498250078460363,0.000487724944657703,0.000475080123570246,0.000456615364960172,0.000447038119061422,0.000446692499587945,0.000443074138224758,0.000435425826929933,0.0004215129781955,0.000409681480568667,0.000407216722356323,0.00040372861510722,0.000398548097778513,0.000397545472990517,0.000393942083221771,0.000392030818762493,0.000390148794432319,0.000384251731353115,0.000383261716757144,0.000373561139070757,0.000372839928453338,0.000369894655295483,0.000368909689630544,0.000361259164208894,0.000356863669050469,0.000354116255107341,0.000351129050601174,0.000344456514346429,0.000343584245766509,0.000337654625603399,0.000337141033505571,0.000336263631704641,0.000332917274833799,0.000332563761234009,0.000331000085660443,0.000326460163988438,0.000322061171660416,0.000314627599956918,0.000311786080719916,0.000308329978619835,0.000308224565326823,0.000303131603643952,0.000298304624946076,0.000298086208597014,0.000294294717594644,0.00028433813195504,0.000279260875043813,0.000269702689569842,0.000268060017028674,0.000265436185302582,0.000258126315155276,0.000254606520002977,0.00025196783471176
満足度,0.0147800714833524,45,68,7,10,0,16,0,0,0,0,13,3,0,2,0,0,3,1,0,0,0,1,11,14,2,0,0,0,6,10,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,2,0,0,4,1,5,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0,0,1,0,1,0,1
コストパフォーマンス,0.0126782172383999,36,4,14,24,5,4,33,5,10,8,2,6,4,4,1,1,9,0,4,0,0,2,0,0,2,0,1,3,0,0,1,0,2,3,2,0,3,0,9,0,0,1,0,0,0,1,0,1,0,0,2,3,0,0,0,0,3,7,0,0,0,0,3,2,0,0,0,0,0,0,3,0,5,0,1,1,3,1,1,3,4,0,0,0,3,0,3,1,0,0,2,1,2,2,0,0,0,0,0,0
完成度,0.00496692788231097,37,3,11,7,0,1,0,0,0,0,1,3,0,4,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0
画質,0.00463905014591556,0,0,0,0,2,0,1,24,2,19,0,0,13,0,14,6,7,18,0,12,1,28,3,1,0,6,11,2,2,0,9,6,13,0,6,0,1,1,1,6,1,11,5,1,0,0,1,11,0,1,0,1,10,1,2,5,2,0,6,1,2,0,0,1,7,0,7,9,7,9,0,4,0,4,1,4,4,1,3,0,0,0,0,0,1,11,0,0,1,4,1,0,1,1,0,0,4,7,2,6
バランス,0.00427414398139028,2,0,2,0,20,1,0,14,8,8,0,0,5,0,6,10,0,0,0,6,0,0,0,0,0,7,5,5,0,0,4,3,9,0,11,0,3,0,1,0,0,0,4,6,0,0,5,4,0,0,0,0,1,0,3,2,2,0,0,0,0,0,0,1,1,27,2,0,3,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,19,0,2,0,0,0
携帯性,0.0034501058781495,0,0,1,0,11,0,5,6,3,12,0,1,3,0,12,2,1,11,1,3,0,12,4,0,1,5,6,3,0,1,1,1,1,0,2,0,3,0,0,1,1,10,2,0,0,0,0,0,2,0,0,0,1,1,3,1,0,1,1,0,2,0,4,17,0,0,3,1,4,0,1,1,0,2,5,0,1,1,1,0,6,2,0,0,1,2,0,0,4,7,0,0,2,0,0,0,1,2,0,0
質感,0.00338635369806868,5,2,9,2,1,2,0,4,0,4,2,2,4,6,5,5,4,2,4,1,3,2,0,0,0,2,2,0,0,0,4,1,1,0,3,2,1,4,0,6,0,5,2,0,1,0,1,2,0,1,0,0,6,2,1,0,1,0,0,0,4,0,0,0,1,0,0,5,0,3,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,0,0,1,3,2,0,1,0,0,0,1,0,0
評価,0.00321512777774668,12,2,4,0,1,2,0,0,0,1,0,3,0,4,0,0,1,0,0,0,1,0,4,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,4,0,0,0,0,0,0,1,0,1,0,0
操作性,0.0030668788695637,0,1,3,0,4,0,2,4,3,10,0,0,6,1,12,8,1,11,0,6,0,11,5,0,0,4,5,1,0,2,1,3,2,0,6,0,2,1,0,1,0,4,9,0,0,0,3,9,3,0,0,0,8,0,6,2,1,1,1,0,3,0,0,6,0,0,2,3,2,3,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,2,0,0,5,1,1,0,0,1,0,0,2,3,1,0
